Provincias;Sector económico;Periodo;Total
Total Nacional;Industria;2011T2;12,2
Total Nacional;Industria;2011T1;12,1
Total Nacional;Industria;2010T4;12,4
Total Nacional;Industria;2010T3;12,4
Total Nacional;Industria;2010T2;12,5
Total Nacional;Industria;2010T1;12,7
Total Nacional;Industria;2009T4;13,1
Total Nacional;Industria;2009T3;13,4
Total Nacional;Industria;2009T2;13,8
Total Nacional;Industria;2009T1;14,2
Total Nacional;Industria;2008T4;14,5
Total Nacional;Industria;2008T3;14,9
Total Nacional;Industria;2008T2;15
Total Nacional;Industria;2008T1;15,4
Total Nacional;Construcción;2025T3;6,6
Total Nacional;Construcción;2025T2;6,6
Total Nacional;Construcción;2025T1;6,5
Total Nacional;Construcción;2024T4;6,5
Total Nacional;Construcción;2024T3;6,4
Total Nacional;Construcción;2024T2;6,5
Total Nacional;Construcción;2024T1;6,4
Total Nacional;Construcción;2023T4;6,3
Total Nacional;Construcción;2023T3;6,2
Total Nacional;Construcción;2023T2;6,3
Total Nacional;Construcción;2023T1;6,2
Total Nacional;Construcción;2022T4;6,1
Total Nacional;Construcción;2022T3;6,2
Total Nacional;Construcción;2022T2;6,3
Total Nacional;Construcción;2022T1;6,2
Total Nacional;Construcción;2021T4;6,1
Total Nacional;Construcción;2021T3;6,2
Total Nacional;Construcción;2021T2;6,3
Total Nacional;Construcción;2021T1;6,3
Total Nacional;Construcción;2020T4;6,2
Total Nacional;Construcción;2020T3;6,1
Total Nacional;Construcción;2020T2;6,1
Total Nacional;Construcción;2020T1;6,1
Total Nacional;Construcción;2019T4;6,2
Total Nacional;Construcción;2019T3;6,1
Total Nacional;Construcción;2019T2;6,1
Total Nacional;Construcción;2019T1;6,2
Total Nacional;Construcción;2018T4;6,2
Total Nacional;Construcción;2018T3;6
Total Nacional;Construcción;2018T2;5,9
Total Nacional;Construcción;2018T1;5,8
Total Nacional;Construcción;2017T4;5,7
Total Nacional;Construcción;2017T3;5,7
Total Nacional;Construcción;2017T2;5,6
Total Nacional;Construcción;2017T1;5,5
Total Nacional;Construcción;2016T4;5,5
Total Nacional;Construcción;2016T3;5,6
Total Nacional;Construcción;2016T2;5,5
Total Nacional;Construcción;2016T1;5,4
Total Nacional;Construcción;2015T4;5,5
Total Nacional;Construcción;2015T3;5,6
Total Nacional;Construcción;2015T2;5,6
Total Nacional;Construcción;2015T1;5,6
Total Nacional;Construcción;2014T4;5,5
Total Nacional;Construcción;2014T3;5,4
Total Nacional;Construcción;2014T2;5,4
Total Nacional;Construcción;2014T1;5,5
Total Nacional;Construcción;2013T4;5,6
Total Nacional;Construcción;2013T3;5,8
Total Nacional;Construcción;2013T2;6
Total Nacional;Construcción;2013T1;6,2
Total Nacional;Construcción;2012T4;6,3
Total Nacional;Construcción;2012T3;6,6
Total Nacional;Construcción;2012T2;7
Total Nacional;Construcción;2012T1;7,2
Total Nacional;Construcción;2011T4;7,4
Total Nacional;Construcción;2011T3;7,8
Total Nacional;Construcción;2011T2;7,9
Total Nacional;Construcción;2011T1;8,3
Total Nacional;Construcción;2010T4;8,6
Total Nacional;Construcción;2010T3;9,1
Total Nacional;Construcción;2010T2;9,5
Total Nacional;Construcción;2010T1;9,7
Total Nacional;Construcción;2009T4;10,4
Total Nacional;Construcción;2009T3;10,6
Total Nacional;Construcción;2009T2;11,2
Total Nacional;Construcción;2009T1;11,6
Total Nacional;Construcción;2008T4;11,9
Total Nacional;Construcción;2008T3;12,3
Total Nacional;Construcción;2008T2;12,8
Total Nacional;Construcción;2008T1;13
Total Nacional;Servicios;2025T3;72,2
Total Nacional;Servicios;2025T2;72,3
Total Nacional;Servicios;2025T1;72,3
Total Nacional;Servicios;2024T4;72,5
Total Nacional;Servicios;2024T3;72,2
Total Nacional;Servicios;2024T2;72
Total Nacional;Servicios;2024T1;72,2
Total Nacional;Servicios;2023T4;71,8
Total Nacional;Servicios;2023T3;72,1
Total Nacional;Servicios;2023T2;72,3
Total Nacional;Servicios;2023T1;71,3
Total Nacional;Servicios;2022T4;71
Total Nacional;Servicios;2022T3;71
Total Nacional;Servicios;2022T2;70,5
Total Nacional;Servicios;2022T1;70,1
Total Nacional;Servicios;2021T4;69,8
Total Nacional;Servicios;2021T3;69,4
Total Nacional;Servicios;2021T2;68,3
Total Nacional;Servicios;2021T1;69,1
Total Nacional;Servicios;2020T4;69,5
Total Nacional;Servicios;2020T3;70,2
Total Nacional;Servicios;2020T2;70,9
Total Nacional;Servicios;2020T1;70,4
Total Nacional;Servicios;2019T4;70,4
Total Nacional;Servicios;2019T3;70,1
Total Nacional;Servicios;2019T2;69,9
Total Nacional;Servicios;2019T1;69,6
Total Nacional;Servicios;2018T4;69,6
Total Nacional;Servicios;2018T3;69,5
Total Nacional;Servicios;2018T2;68,9
Total Nacional;Servicios;2018T1;68,5
Total Nacional;Servicios;2017T4;68,3
Total Nacional;Servicios;2017T3;68,5
Total Nacional;Servicios;2017T2;68,1
Total Nacional;Servicios;2017T1;67,6
Total Nacional;Servicios;2016T4;67,4
Total Nacional;Servicios;2016T3;67,3
Total Nacional;Servicios;2016T2;66,9
Total Nacional;Servicios;2016T1;66,5
Total Nacional;Servicios;2015T4;66,3
Total Nacional;Servicios;2015T3;65,7
Total Nacional;Servicios;2015T2;64,7
Total Nacional;Servicios;2015T1;64,2
Total Nacional;Servicios;2014T4;64,3
Total Nacional;Servicios;2014T3;64,5
Total Nacional;Servicios;2014T2;64,2
Total Nacional;Servicios;2014T1;63,5
Total Nacional;Servicios;2013T4;63,4
Total Nacional;Servicios;2013T3;63,6
Total Nacional;Servicios;2013T2;63,4
Total Nacional;Servicios;2013T1;63,2
Total Nacional;Servicios;2012T4;63,4
Total Nacional;Servicios;2012T3;63,7
Total Nacional;Servicios;2012T2;64
Total Nacional;Servicios;2012T1;64,3
Total Nacional;Servicios;2011T4;64,4
Total Nacional;Servicios;2011T3;65
Total Nacional;Servicios;2011T2;65,1
Total Nacional;Servicios;2011T1;64,6
Total Nacional;Servicios;2010T4;64,4
Total Nacional;Servicios;2010T3;64,8
Total Nacional;Servicios;2010T2;64,4
Total Nacional;Servicios;2010T1;64,6
Total Nacional;Servicios;2009T4;64,6
Total Nacional;Servicios;2009T3;65,3
Total Nacional;Servicios;2009T2;64,7
Total Nacional;Servicios;2009T1;64,3
Total Nacional;Servicios;2008T4;65
Total Nacional;Servicios;2008T3;65
Total Nacional;Servicios;2008T2;64,6
Total Nacional;Servicios;2008T1;63,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T3;4,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T2;4,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2025T1;5,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T4;5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T3;5,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T2;5,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2024T1;5,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T4;5,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T3;5,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T2;5,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2023T1;6,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T4;6,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T3;6,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T2;6,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2022T1;7,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T4;7,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T3;8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T2;8,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2021T1;7,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T4;7,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T3;7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T2;5,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2020T1;6,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T4;6,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T3;6,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T2;6,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2019T1;7,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T4;7,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T3;7,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T2;8,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2018T1;8,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T4;8,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T3;8,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T2;9,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2017T1;10
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T4;10,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T3;10,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T2;11,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2016T1;11,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T4;12,2
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T3;12,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T2;13,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2015T1;14,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T4;14,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T3;14,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T2;14,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2014T1;15,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T4;15,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T3;15,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T2;14,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2013T1;14,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T4;14,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T3;13,4
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T2;12,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2012T1;12,1
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T4;11,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T3;11
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T2;10,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2011T1;10,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T4;10,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T3;9,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T2;9,3
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2010T1;8,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T4;7,7
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T3;6,6
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T2;5,9
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2009T1;5,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T4;4,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T3;3,8
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T2;3,5
Total Nacional;Parados que buscan primer empleo o han dejado su último empleo hace más de 1 año;2008T1;3,4
02 Albacete;Agricultura;2025T3;10,8
02 Albacete;Agricultura;2025T2;9
02 Albacete;Agricultura;2025T1;9,5
02 Albacete;Agricultura;2024T4;8,7
02 Albacete;Agricultura;2024T3;9,4
02 Albacete;Agricultura;2024T2;8,9
02 Albacete;Agricultura;2024T1;10,7
02 Albacete;Agricultura;2023T4;10,7
02 Albacete;Agricultura;2023T3;9,3
02 Albacete;Agricultura;2023T2;7,5
02 Albacete;Agricultura;2023T1;9,4
02 Albacete;Agricultura;2022T4;9,7
02 Albacete;Agricultura;2022T3;9,4
02 Albacete;Agricultura;2022T2;10,3
02 Albacete;Agricultura;2022T1;9,1
02 Albacete;Agricultura;2021T4;9,9
02 Albacete;Agricultura;2021T3;8
02 Albacete;Agricultura;2021T2;8,6
02 Albacete;Agricultura;2021T1;7,4
02 Albacete;Agricultura;2020T4;7,8
02 Albacete;Agricultura;2020T3;7,8
02 Albacete;Agricultura;2020T2;10,4
02 Albacete;Agricultura;2020T1;8,4
02 Albacete;Agricultura;2019T4;7,9
02 Albacete;Agricultura;2019T3;9,5
02 Albacete;Agricultura;2019T2;10,2
02 Albacete;Agricultura;2019T1;9
02 Albacete;Agricultura;2018T4;8,3
02 Albacete;Agricultura;2018T3;8,1
02 Albacete;Agricultura;2018T2;7,1
02 Albacete;Agricultura;2018T1;8
02 Albacete;Agricultura;2017T4;6,4
02 Albacete;Agricultura;2017T3;7,1
02 Albacete;Agricultura;2017T2;7,2
02 Albacete;Agricultura;2017T1;7,6
02 Albacete;Agricultura;2016T4;9,3
02 Albacete;Agricultura;2016T3;10,2
02 Albacete;Agricultura;2016T2;9,6
02 Albacete;Agricultura;2016T1;7,7
02 Albacete;Agricultura;2015T4;9
02 Albacete;Agricultura;2015T3;8,1
02 Albacete;Agricultura;2015T2;8,4
02 Albacete;Agricultura;2015T1;8,1
02 Albacete;Agricultura;2014T4;9,4
02 Albacete;Agricultura;2014T3;10,3
02 Albacete;Agricultura;2014T2;9,1
02 Albacete;Agricultura;2014T1;8,9
02 Albacete;Agricultura;2013T4;8,1
02 Albacete;Agricultura;2013T3;7,2
02 Albacete;Agricultura;2013T2;6,6
02 Albacete;Agricultura;2013T1;6,7
02 Albacete;Agricultura;2012T4;8,3
02 Albacete;Agricultura;2012T3;8,7
02 Albacete;Agricultura;2012T2;7,8
02 Albacete;Agricultura;2012T1;7,6
02 Albacete;Agricultura;2011T4;7,7
02 Albacete;Agricultura;2011T3;8
02 Albacete;Agricultura;2011T2;5,9
02 Albacete;Agricultura;2011T1;7,1
02 Albacete;Agricultura;2010T4;7,2
02 Albacete;Agricultura;2010T3;7,4
02 Albacete;Agricultura;2010T2;7,4
02 Albacete;Agricultura;2010T1;5,7
02 Albacete;Agricultura;2009T4;5,5
02 Albacete;Agricultura;2009T3;5,8
02 Albacete;Agricultura;2009T2;5,4
02 Albacete;Agricultura;2009T1;6,4
02 Albacete;Agricultura;2008T4;6,7
02 Albacete;Agricultura;2008T3;7
02 Albacete;Agricultura;2008T2;6,4
02 Albacete;Agricultura;2008T1;8,1
02 Albacete;Industria;2025T3;14,4
02 Albacete;Industria;2025T2;15,9
02 Albacete;Industria;2025T1;14,9
02 Albacete;Industria;2024T4;15,6
02 Albacete;Industria;2024T3;15,2
02 Albacete;Industria;2024T2;15,1
02 Albacete;Industria;2024T1;13,8
02 Albacete;Industria;2023T4;13,3
02 Albacete;Industria;2023T3;12,9
02 Albacete;Industria;2023T2;13,6
02 Albacete;Industria;2023T1;13,6
02 Albacete;Industria;2022T4;14,3
02 Albacete;Industria;2022T3;13,1
02 Albacete;Industria;2022T2;14,1
02 Albacete;Industria;2022T1;15,8
02 Albacete;Industria;2021T4;16,4
02 Albacete;Industria;2021T3;15,9
02 Albacete;Industria;2021T2;14,4
02 Albacete;Industria;2021T1;12,7
02 Albacete;Industria;2020T4;12,1
02 Albacete;Industria;2020T3;11,9
02 Albacete;Industria;2020T2;13,8
02 Albacete;Industria;2020T1;14,3
02 Albacete;Industria;2019T4;15,8
02 Albacete;Industria;2019T3;16,3
02 Albacete;Industria;2019T2;15,7
02 Albacete;Industria;2019T1;15
02 Albacete;Industria;2018T4;13,7
02 Albacete;Industria;2018T3;14,4
02 Albacete;Industria;2018T2;14
02 Albacete;Industria;2018T1;12,6
02 Albacete;Industria;2017T4;12,3
02 Albacete;Industria;2017T3;11,9
02 Albacete;Industria;2017T2;12
02 Albacete;Industria;2017T1;12,9
02 Albacete;Industria;2016T4;11,9
02 Albacete;Industria;2016T3;11,3
02 Albacete;Industria;2016T2;10,5
02 Albacete;Industria;2016T1;10,9
02 Albacete;Industria;2015T4;10,2
02 Albacete;Industria;2015T3;11,2
02 Albacete;Industria;2015T2;11,3
02 Albacete;Industria;2015T1;10,2
02 Albacete;Industria;2014T4;11
02 Albacete;Industria;2014T3;11,8
02 Albacete;Industria;2014T2;12,9
02 Albacete;Industria;2014T1;12,6
02 Albacete;Industria;2013T4;12
02 Albacete;Industria;2013T3;11,1
02 Albacete;Industria;2013T2;11,6
02 Albacete;Industria;2013T1;11,7
02 Albacete;Industria;2012T4;10,5
02 Albacete;Industria;2012T3;11
02 Albacete;Industria;2012T2;10,7
02 Albacete;Industria;2012T1;11,5
02 Albacete;Industria;2011T4;12,1
02 Albacete;Industria;2011T3;13,5
02 Albacete;Industria;2011T2;13,9
02 Albacete;Industria;2011T1;13,4
02 Albacete;Industria;2010T4;13,1
02 Albacete;Industria;2010T3;13,2
02 Albacete;Industria;2010T2;15,2
02 Albacete;Industria;2010T1;15,5
02 Albacete;Industria;2009T4;15,8
02 Albacete;Industria;2009T3;16,4
02 Albacete;Industria;2009T2;17,6
02 Albacete;Industria;2009T1;17,5
02 Albacete;Industria;2008T4;16,1
02 Albacete;Industria;2008T3;16,9
02 Albacete;Industria;2008T2;17,2
02 Albacete;Industria;2008T1;16,1
02 Albacete;Construcción;2025T3;7,4
02 Albacete;Construcción;2025T2;6,5
02 Albacete;Construcción;2025T1;5,9
02 Albacete;Construcción;2024T4;7,1
02 Albacete;Construcción;2024T3;7
02 Albacete;Construcción;2024T2;5,8
02 Albacete;Construcción;2024T1;4,6
02 Albacete;Construcción;2023T4;5
02 Albacete;Construcción;2023T3;4,5
02 Albacete;Construcción;2023T2;5,6
02 Albacete;Construcción;2023T1;5,4
02 Albacete;Construcción;2022T4;6,5
02 Albacete;Construcción;2022T3;7,4
02 Albacete;Construcción;2022T2;7,7
02 Albacete;Construcción;2022T1;7,2
02 Albacete;Construcción;2021T4;5,9
02 Albacete;Construcción;2021T3;6,2
02 Albacete;Construcción;2021T2;5,6
02 Albacete;Construcción;2021T1;5,1
02 Albacete;Construcción;2020T4;4,8
02 Albacete;Construcción;2020T3;6,1
02 Albacete;Construcción;2020T2;5,8
02 Albacete;Construcción;2020T1;5,4
02 Albacete;Construcción;2019T4;6
02 Albacete;Construcción;2019T3;6,3
02 Albacete;Construcción;2019T2;6,2
02 Albacete;Construcción;2019T1;6,9
02 Albacete;Construcción;2018T4;6,9
02 Albacete;Construcción;2018T3;6,5
02 Albacete;Construcción;2018T2;6,2
02 Albacete;Construcción;2018T1;5,5
02 Albacete;Construcción;2017T4;5,6
02 Albacete;Construcción;2017T3;5,2
02 Albacete;Construcción;2017T2;5,7
02 Albacete;Construcción;2017T1;4,9
02 Albacete;Construcción;2016T4;5,4
02 Albacete;Construcción;2016T3;6,1
02 Albacete;Construcción;2016T2;5,5
02 Albacete;Construcción;2016T1;5,7
02 Albacete;Construcción;2015T4;4,9
02 Albacete;Construcción;2015T3;5,5
02 Albacete;Construcción;2015T2;4,6
02 Albacete;Construcción;2015T1;3,7
02 Albacete;Construcción;2014T4;4
02 Albacete;Construcción;2014T3;4,4
02 Albacete;Construcción;2014T2;5,2
02 Albacete;Construcción;2014T1;5,4
02 Albacete;Construcción;2013T4;5,6
02 Albacete;Construcción;2013T3;6,6
02 Albacete;Construcción;2013T2;6,1
02 Albacete;Construcción;2013T1;7,4
02 Albacete;Construcción;2012T4;8,2
02 Albacete;Construcción;2012T3;8,4
02 Albacete;Construcción;2012T2;8,4
02 Albacete;Construcción;2012T1;7,1
02 Albacete;Construcción;2011T4;6,5
02 Albacete;Construcción;2011T3;6
02 Albacete;Construcción;2011T2;7,2
02 Albacete;Construcción;2011T1;7,2
02 Albacete;Construcción;2010T4;6,2
02 Albacete;Construcción;2010T3;8,2
02 Albacete;Construcción;2010T2;8,8
02 Albacete;Construcción;2010T1;9,7
02 Albacete;Construcción;2009T4;11,8
02 Albacete;Construcción;2009T3;12,2
02 Albacete;Construcción;2009T2;12,8
02 Albacete;Construcción;2009T1;11,5
02 Albacete;Construcción;2008T4;12
02 Albacete;Construcción;2008T3;11,2
02 Albacete;Construcción;2008T2;12,3
02 Albacete;Construcción;2008T1;12,3
02 Albacete;Servicios;2025T3;62,6
02 Albacete;Servicios;2025T2;62,8
02 Albacete;Servicios;2025T1;65
02 Albacete;Servicios;2024T4;63,2
02 Albacete;Servicios;2024T3;64
02 Albacete;Servicios;2024T2;66,4
02 Albacete;Servicios;2024T1;66,2
02 Albacete;Servicios;2023T4;65,3
02 Albacete;Servicios;2023T3;68,7
02 Albacete;Servicios;2023T2;68,3
02 Albacete;Servicios;2023T1;65,9
02 Albacete;Servicios;2022T4;65,1
