municipality_number,municipality_name,year,number_of_households,average_household_size,number_of_dwellings,average_rent_price
22074,Campo,1998,133.0,2.7,137.0,575.0
22075,Camporrélls,1998,90.0,2.82,93.0,446.0
22076,Canal de Berdún,1998,131.0,3.3,135.0,698.0
22077,Candasnos,1998,233.0,2.44,240.0,406.0
22078,Canfranc,1998,177.0,2.98,182.0,540.0
44059,Cantavieja,1998,268.0,2.71,276.0,567.0
44060,Cañada de Benatanduz,1998,26.0,2.5,27.0,278.0
44061,Cañada de Verich (La),1998,45.0,2.46,46.0,376.0
44062,Cañada Vellida,1998,19.0,3.14,20.0,335.0
44063,Cañizar del Olivar,1998,40.0,3.21,41.0,237.0
22079,Capdesaso,1998,55.0,3.22,57.0,607.0
22080,Capella,1998,122.0,3.29,126.0,588.0
50072,Carenas,1998,95.0,2.53,98.0,233.0
50073,Cariñena,1998,1088.0,2.66,1121.0,536.0
22081,Casbas de Huesca,1998,103.0,2.98,106.0,226.0
44064,Cascante del Río,1998,45.0,2.82,46.0,673.0
50074,Caspe,1998,2839.0,2.73,2924.0,368.0
50075,Castejón de Alarba,1998,46.0,2.68,47.0,248.0
50076,Castejón de las Armas,1998,49.0,2.92,50.0,673.0
22083,Castejón de Monegros,1998,251.0,2.88,259.0,717.0
22084,Castejón de Sos,1998,215.0,2.48,221.0,332.0
44065,Castejón de Tornos,1998,40.0,2.73,41.0,505.0
50077,Castejón de Valdejasa,1998,119.0,2.86,123.0,254.0
22082,Castejón del Puente,1998,139.0,2.87,143.0,734.0
44066,Castel de Cabra,1998,72.0,2.55,74.0,741.0
22085,Castelflorite,1998,50.0,3.06,52.0,446.0
44070,Castellar (El),1998,44.0,2.37,45.0,581.0
44071,Castellote,1998,280.0,2.66,288.0,680.0
44067,Castelnou,1998,34.0,3.07,35.0,478.0
44068,Castelserás,1998,303.0,2.87,312.0,639.0
22086,Castiello de Jaca,1998,62.0,2.56,64.0,322.0
22087,Castigaleu,1998,34.0,3.04,35.0,702.0
50078,Castiliscar,1998,143.0,2.87,147.0,498.0
22088,Castillazuelo,1998,75.0,3.11,77.0,549.0
22089,Castillonroy,1998,140.0,3.03,144.0,321.0
44074,Cedrillas,1998,186.0,2.92,192.0,510.0
44075,Celadas,1998,151.0,2.79,156.0,490.0
44076,Cella,1998,1210.0,2.44,1246.0,255.0
44077,Cerollera (La),1998,33.0,2.56,34.0,304.0
50079,Cervera de la Cañada,1998,129.0,2.74,133.0,546.0
50080,Cerveruela,1998,2.0,2.9,2.0,453.0
50081,Cetina,1998,261.0,2.82,269.0,575.0
22094,Chalamera,1998,63.0,2.62,65.0,331.0
22095,Chía,1998,49.0,2.34,50.0,690.0
22096,Chimillas,1998,63.0,2.81,65.0,404.0
50092,Chiprana,1998,150.0,2.6,154.0,226.0
50093,Chodes,1998,41.0,3.06,42.0,475.0
50082,Cimballa,1998,58.0,2.32,60.0,428.0
50083,Cinco Olivas,1998,45.0,2.88,46.0,511.0
50084,Clarés de Ribota,1998,30.0,3.26,31.0,601.0
50085,Codo,1998,113.0,2.49,116.0,563.0
44080,Codoñera (La),1998,127.0,2.77,131.0,363.0
50086,Codos,1998,121.0,2.39,125.0,451.0
22090,Colungo,1998,42.0,2.95,43.0,637.0
50087,Contamina,1998,20.0,2.79,21.0,287.0
44082,Corbalán,1998,26.0,2.7,27.0,509.0
44084,Cortes de Aragón,1998,48.0,2.77,49.0,209.0
44085,Cosa,1998,33.0,3.18,34.0,218.0
50088,Cosuenda,1998,168.0,2.51,173.0,263.0
44086,Cretas,1998,271.0,2.33,279.0,386.0
44087,Crivillén,1998,42.0,3.19,43.0,730.0
50089,Cuarte de Huerva,1998,606.0,2.88,624.0,224.0
44088,Cuba (La),1998,20.0,3.3,21.0,639.0
50090,Cubel,1998,83.0,2.92,85.0,614.0
44089,Cubla,1998,18.0,3.18,19.0,568.0
44090,Cucalón,1998,29.0,2.73,30.0,740.0
50091,Cuerlas (Las),1998,33.0,3.08,34.0,349.0
44092,Cuervo (El),1998,40.0,3.26,41.0,679.0
44093,Cuevas de Almudén,1998,37.0,2.88,38.0,410.0
44094,Cuevas Labradas,1998,70.0,2.48,72.0,206.0
50094,Daroca,1998,898.0,2.57,925.0,364.0
50095,Ejea de los Caballeros,1998,5870.0,2.51,6046.0,261.0
44096,Ejulve,1998,88.0,2.54,91.0,638.0
50096,Embid de Ariza,1998,24.0,2.71,25.0,295.0
50098,Encinacorba,1998,114.0,2.84,117.0,576.0
50099,Épila,1998,1370.0,2.89,1411.0,637.0
50100,Erla,1998,176.0,2.72,181.0,586.0
50101,Escatrón,1998,414.0,2.92,426.0,439.0
44097,Escorihuela,1998,99.0,2.39,102.0,480.0
44099,Escucha,1998,478.0,2.4,492.0,734.0
22099,Esplús,1998,321.0,2.48,331.0,554.0
22102,Estada,1998,65.0,2.84,67.0,520.0
22103,Estadilla,1998,368.0,2.52,379.0,247.0
44100,Estercuel,1998,144.0,2.59,148.0,531.0
22105,Estopiñán del Castillo,1998,70.0,2.7,72.0,713.0
50102,Fabara,1998,398.0,3.11,410.0,498.0
22106,Fago,1998,17.0,2.31,18.0,345.0
22107,Fanlo,1998,40.0,2.98,41.0,462.0
50104,Farlete,1998,156.0,2.97,161.0,332.0
50105,Fayón,1998,126.0,3.11,130.0,402.0
50106,Fayos (Los),1998,61.0,3.2,63.0,683.0
44101,Ferreruela de Huerva,1998,36.0,2.32,37.0,490.0
50107,Figueruelas,1998,405.0,2.46,417.0,646.0
22109,Fiscal,1998,72.0,3.18,74.0,675.0
50108,Fombuena,1998,8.0,2.71,8.0,346.0
44102,Fonfría,1998,11.0,2.9,11.0,617.0
22110,Fonz,1998,378.0,2.97,389.0,656.0
22111,Foradada del Toscar,1998,84.0,2.99,87.0,587.0
44103,Formiche Alto,1998,61.0,3.21,63.0,372.0
44105,Fórnoles,1998,31.0,3.3,32.0,308.0
44106,Fortanete,1998,65.0,3.01,67.0,592.0
44107,Foz-Calanda,1998,92.0,2.6,95.0,700.0
22112,Fraga,1998,3712.0,3.18,3823.0,496.0
50109,Frago (El),1998,42.0,2.34,43.0,206.0
50110,Frasno (El),1998,219.0,2.53,226.0,207.0
50111,Fréscano,1998,82.0,3.19,84.0,578.0
44108,Fresneda (La),1998,163.0,2.56,168.0,567.0
44109,Frías de Albarracín,1998,71.0,2.51,73.0,419.0
50113,Fuendejalón,1998,372.0,2.44,383.0,284.0
50114,Fuendetodos,1998,45.0,3.19,46.0,285.0
44110,Fuenferrada,1998,18.0,2.75,19.0,318.0
44111,Fuentes Calientes,1998,48.0,2.98,49.0,394.0
44112,Fuentes Claras,1998,261.0,2.55,269.0,482.0
50115,Fuentes de Ebro,1998,1232.0,3.06,1269.0,627.0
50116,Fuentes de Jiloca,1998,121.0,3.06,125.0,480.0
44113,Fuentes de Rubielos,1998,33.0,2.61,34.0,250.0
44114,Fuentespalda,1998,135.0,2.71,139.0,595.0
22113,Fueva (La),1998,248.0,2.52,255.0,723.0
50117,Gallocanta,1998,57.0,3.28,59.0,265.0
50118,Gallur,1998,999.0,2.95,1029.0,486.0
44115,Galve,1998,44.0,3.26,45.0,728.0
44116,Gargallo,1998,50.0,2.63,52.0,340.0
44117,Gea de Albarracín,1998,154.0,3.08,159.0,562.0
50119,Gelsa,1998,403.0,3.07,415.0,627.0
44118,Ginebrosa (La),1998,88.0,2.99,91.0,202.0
22114,Gistaín,1998,56.0,3.26,58.0,256.0
50120,Godojos,1998,26.0,2.7,27.0,631.0
50121,Gotor,1998,157.0,2.44,162.0,495.0
22115,Grado (El),1998,193.0,2.96,199.0,703.0
22116,Grañén,1998,660.0,3.04,680.0,606.0
22117,Graus,1998,1122.0,2.88,1156.0,424.0
44119,Griegos,1998,57.0,2.53,59.0,547.0
50122,Grisel,1998,25.0,2.77,26.0,499.0
50123,Grisén,1998,182.0,2.62,187.0,219.0
44120,Guadalaviar,1998,105.0,2.73,108.0,565.0
44121,Gúdar,1998,25.0,2.99,26.0,250.0
22119,Gurrea de Gállego,1998,613.0,3.05,631.0,554.0
50124,Herrera de los Navarros,1998,232.0,2.54,239.0,735.0
44122,Híjar,1998,719.0,2.71,741.0,655.0
44123,Hinojosa de Jarque,1998,71.0,2.57,73.0,437.0
22122,Hoz de Jaca,1998,30.0,2.5,31.0,230.0
44124,Hoz de la Vieja (La),1998,45.0,3.12,46.0,274.0
22908,Hoz y Costean,1998,83.0,3.22,85.0,618.0
22124,Huerto,1998,103.0,2.68,106.0,711.0
44125,Huesa del Común,1998,44.0,3.09,45.0,442.0
22125,Huesca,1998,14214.0,3.2,14640.0,712.0
50125,Ibdes,1998,188.0,3.14,194.0,522.0
22126,Ibieca,1998,42.0,2.49,43.0,551.0
44126,Iglesuela del Cid (La),1998,150.0,3.25,154.0,591.0
22127,Igriés,1998,69.0,2.68,71.0,320.0
22128,Ilche,1998,108.0,2.64,111.0,330.0
50126,Illueca,1998,1391.0,2.38,1433.0,235.0
22129,Isábena,1998,91.0,2.81,94.0,686.0
50128,Isuerre,1998,26.0,2.42,27.0,698.0
44127,Jabaloyas,1998,36.0,2.59,37.0,622.0
22130,Jaca,1998,4257.0,2.63,4385.0,316.0
50129,Jaraba,1998,102.0,3.1,105.0,634.0
44128,Jarque de la Val,1998,32.0,3.15,33.0,600.0
50130,Jarque de Moncayo,1998,223.0,2.61,230.0,264.0
22131,Jasa,1998,39.0,3.14,40.0,755.0
44129,Jatiel,1998,23.0,3.09,24.0,540.0
50131,Jaulín,1998,101.0,3.06,104.0,653.0
44130,Jorcas,1998,21.0,2.5,22.0,609.0
44131,Josa,1998,15.0,3.05,15.0,579.0
50132,Joyosa (La),1998,112.0,3.25,115.0,465.0
22133,Labuerda,1998,56.0,2.97,58.0,370.0
50133,Lagata,1998,59.0,2.62,61.0,530.0
44132,Lagueruela,1998,25.0,2.79,26.0,373.0
22135,Laluenga,1998,90.0,2.96,93.0,265.0
22136,Lalueza,1998,449.0,2.82,462.0,651.0
22137,Lanaja,1998,660.0,2.43,680.0,550.0
50134,Langa del Castillo,1998,73.0,2.61,75.0,258.0
44133,Lanzuela,1998,10.0,3.06,10.0,525.0
22139,Laperdiguera,1998,32.0,3.17,33.0,723.0
22141,Lascellas-Ponzano,1998,67.0,2.44,69.0,263.0
22142,Lascuarre,1998,53.0,3.23,55.0,208.0
22143,Laspaúles,1998,107.0,2.65,110.0,589.0
22144,Laspuña,1998,91.0,2.96,94.0,375.0
50135,Layana,1998,50.0,3.07,52.0,711.0
50136,Lécera,1998,277.0,3.11,285.0,768.0
50138,Lechón,1998,16.0,3.23,16.0,388.0
50137,Leciñena,1998,529.0,2.62,545.0,268.0
50139,Letux,1998,158.0,3.15,163.0,208.0
44135,Libros,1998,68.0,2.43,70.0,704.0
44136,Lidón,1998,28.0,2.97,29.0,465.0
44137,Linares de Mora,1998,101.0,3.04,104.0,750.0
50140,Litago,1998,61.0,2.98,63.0,552.0
50141,Lituénigo,1998,46.0,2.56,47.0,647.0
44141,Lledó,1998,66.0,3.16,68.0,385.0
22149,Loarre,1998,160.0,2.48,165.0,497.0
50142,Lobera de Onsella,1998,25.0,2.29,26.0,356.0
50143,Longares,1998,284.0,3.03,293.0,227.0
50144,Longás,1998,14.0,2.83,14.0,607.0
22150,Loporzano,1998,166.0,3.15,171.0,615.0
22151,Loscorrales,1998,48.0,2.7,49.0,651.0
44138,Loscos,1998,86.0,2.49,89.0,283.0
50146,Lucena de Jalón,1998,85.0,3.12,88.0,470.0
50147,Luceni,1998,373.0,2.85,384.0,628.0
50148,Luesia,1998,171.0,2.49,176.0,650.0
50149,Luesma,1998,8.0,2.94,8.0,664.0
50150,Lumpiaque,1998,335.0,2.82,345.0,635.0
50151,Luna,1998,321.0,2.9,331.0,610.0
22905,Lupiñén-Ortilla,1998,131.0,2.75,135.0,650.0
50152,Maella,1998,646.0,3.14,665.0,348.0
50153,Magallón,1998,388.0,3.14,400.0,400.0
44142,Maicas,1998,8.0,3.1,8.0,301.0
50154,Mainar,1998,76.0,2.41,78.0,750.0
50155,Malanquilla,1998,41.0,3.17,42.0,755.0
50156,Maleján,1998,104.0,2.98,107.0,498.0
50160,Mallén,1998,978.0,3.0,1007.0,388.0
50157,Malón,1998,180.0,2.66,185.0,765.0
50159,Maluenda,1998,318.0,3.18,328.0,543.0
50161,Manchones,1998,52.0,3.01,54.0,400.0
44143,Manzanera,1998,199.0,2.42,205.0,566.0
50162,Mara,1998,80.0,2.71,82.0,470.0
50163,María de Huerva,1998,272.0,3.19,280.0,686.0
44144,Martín del Río,1998,150.0,3.28,154.0,319.0
44145,Mas de las Matas,1998,496.0,2.98,511.0,721.0
44146,Mata de los Olmos (La),1998,94.0,2.95,97.0,358.0
44147,Mazaleón,1998,233.0,2.57,240.0,591.0
50164,Mediana de Aragón,1998,198.0,2.56,204.0,310.0
50165,Mequinenza,1998,783.0,3.25,806.0,230.0
50166,Mesones de Isuela,1998,149.0,2.61,153.0,408.0
50167,Mezalocha,1998,103.0,3.08,106.0,339.0
44148,Mezquita de Jarque,1998,54.0,2.66,56.0,528.0
50168,Mianos,1998,16.0,2.37,16.0,747.0
50169,Miedes de Aragón,1998,225.0,2.32,232.0,721.0
44149,Mirambel,1998,51.0,2.84,53.0,592.0
44150,Miravete de la Sierra,1998,16.0,3.21,16.0,562.0
44151,Molinos,1998,128.0,2.67,132.0,425.0
50170,Monegrillo,1998,207.0,2.66,213.0,255.0
22155,Monesma y Cajigar,1998,40.0,2.62,41.0,313.0
50171,Moneva,1998,39.0,2.83,40.0,209.0
22156,Monflorite-Lascasas,1998,70.0,2.75,72.0,531.0
44152,Monforte de Moyuela,1998,27.0,3.12,28.0,488.0
50172,Monreal de Ariza,1998,114.0,2.79,117.0,598.0
44153,Monreal del Campo,1998,816.0,2.82,840.0,756.0
44154,Monroyo,1998,156.0,2.44,161.0,671.0
44155,Montalbán,1998,486.0,3.28,501.0,248.0
22157,Montanuy,1998,120.0,2.54,124.0,573.0
44156,Monteagudo del Castillo,1998,30.0,2.33,31.0,710.0
50173,Monterde,1998,75.0,2.97,77.0,380.0
44157,Monterde de Albarracín,1998,26.0,2.85,27.0,666.0
50174,Montón,1998,53.0,2.72,55.0,766.0
22158,Monzón,1998,5326.0,2.73,5486.0,213.0
44158,Mora de Rubielos,1998,446.0,3.09,459.0,555.0
50175,Morata de Jalón,1998,616.0,2.51,634.0,702.0
50176,Morata de Jiloca,1998,114.0,3.11,117.0,769.0
50177,Morés,1998,172.0,2.95,177.0,442.0
50178,Moros,1998,196.0,2.72,202.0,597.0
44159,Moscardón,1998,20.0,2.77,21.0,642.0
44160,Mosqueruela,1998,271.0,2.56,279.0,617.0
50179,Moyuela,1998,116.0,3.07,119.0,199.0
50180,Mozota,1998,41.0,2.84,42.0,695.0
50181,Muel,1998,432.0,2.63,445.0,698.0
50182,Muela (La),1998,392.0,2.9,404.0,646.0
50183,Munébrega,1998,146.0,3.3,150.0,396.0
44161,Muniesa,1998,272.0,2.74,280.0,375.0
50184,Murero,1998,44.0,3.23,45.0,336.0
50185,Murillo de Gállego,1998,52.0,2.64,54.0,575.0
22160,Naval,1998,127.0,2.38,131.0,570.0
50186,Navardún,1998,24.0,2.5,25.0,714.0
50187,Nigüella,1998,44.0,2.73,45.0,405.0
44163,Noguera de Albarracín,1998,73.0,2.52,75.0,644.0
44164,Nogueras,1998,9.0,2.37,9.0,449.0
44165,Nogueruelas,1998,66.0,3.21,68.0,230.0
50188,Nombrevilla,1998,10.0,3.21,10.0,302.0
50189,Nonaspe,1998,356.0,3.05,367.0,311.0
22162,Novales,1998,76.0,2.49,78.0,309.0
50190,Novallas,1998,312.0,2.43,321.0,471.0
50191,Novillas,1998,294.0,2.38,303.0,201.0
22163,Nueno,1998,71.0,3.04,73.0,678.0
50192,Nuévalos,1998,93.0,3.23,96.0,375.0
50193,Nuez de Ebro,1998,205.0,2.74,211.0,586.0
44167,Obón,1998,21.0,2.52,22.0,495.0
44168,Odón,1998,94.0,2.82,97.0,710.0
44169,Ojos Negros,1998,222.0,2.65,229.0,333.0
44171,Olba,1998,74.0,2.68,76.0,738.0
44172,Oliete,1998,167.0,2.93,172.0,592.0
44173,Olmos (Los),1998,50.0,3.01,52.0,676.0
22164,Olvena,1998,22.0,2.45,23.0,640.0
50194,Olvés,1998,73.0,2.35,75.0,549.0
22165,Ontiñena,1998,199.0,3.29,205.0,742.0
50195,Orcajo,1998,18.0,2.55,19.0,451.0
50196,Orera,1998,56.0,2.37,58.0,571.0
50197,Orés,1998,41.0,2.51,42.0,577.0
44174,Orihuela del Tremedal,1998,260.0,2.35,268.0,471.0
44175,Orrios,1998,72.0,2.7,74.0,738.0
50198,Oseja,1998,18.0,3.09,19.0,747.0
50199,Osera de Ebro,1998,130.0,2.65,134.0,634.0
22167,Osso de Cinca,1998,273.0,2.75,281.0,649.0
22168,Palo,1998,8.0,3.08,8.0,310.0
44176,Palomar de Arroyos,1998,94.0,2.81,97.0,285.0
44177,Pancrudo,1998,57.0,3.19,59.0,730.0
