Lugar de residencia;Number_of_households;Average_household_size;Number_of_dwellings;Average_rent_price
44019 Alobras;27;2.62;29;272
50026 Alpartir;251;2.25;269;542
44020 Alpeñés;9;3.0;10;430
22024 Alquézar;105;2.98;112;645
22025 Altorricón;546;2.76;584;714
50027 Ambel;120;2.54;128;424
44024 Anadón;7;3.06;7;1003
44025 Andorra;3065;2.73;3280;892
50028 Anento;46;2.98;49;807
22027 Angüés;154;2.79;165;677
50029 Aniñón;277;2.95;296;769
22028 Ansó;177;2.78;189;916
22029 Antillón;57;2.61;61;474
50030 Añón de Moncayo;66;3.12;71;887
22032 Aragüés del Puerto;47;2.71;50;664
50031 Aranda de Moncayo;77;2.77;82;954
50032 Arándiga;168;2.42;180;893
44026 Arcos de las Salinas;40;2.8;43;973
50033 Ardisa;29;2.75;31;760
22035 Arén;153;2.38;164;312
44027 Arens de Lledó;94;2.26;101;266
22036 Argavieso;43;2.78;46;740
44028 Argente;79;2.94;85;497
22037 Arguis;44;2.68;47;686
44029 Ariño;382;2.42;409;881
50034 Ariza;450;2.84;482;641
50035 Artieda;41;2.28;44;1031
50036 Asín;40;2.61;43;415
50037 Atea;53;2.37;57;758
50038 Ateca;904;2.38;967;866
22039 Ayerbe;468;2.39;501;565
44031 Azaila;54;2.56;58;664
22040 Azanuy-Alins;77;2.27;82;694
22041 Azara;78;2.57;83;834
22042 Azlor;50;2.68;54;350
50039 Azuara;264;2.66;282;733
44032 Bádenas;8;2.7;9;824
50040 Badules;31;3.07;33;340
22043 Baélls;51;2.35;55;633
44033 Báguena;149;2.68;159;296
50041 Bagüés;10;2.4;11;879
22044 Bailo;130;2.27;139;998
50042 Balconchán;4;2.85;4;982
22045 Baldellou;42;2.76;45;896
22046 Ballobar;324;3.03;347;598
22047 Banastás;99;2.73;106;664
44034 Bañón;53;3.13;57;645
22048 Barbastro;7591;2.25;8122;667
50043 Bárboles;145;2.29;155;274
22049 Barbués;44;2.23;47;444
22050 Barbuñales;46;2.38;49;946
22051 Bárcabo;47;2.72;50;832
50044 Bardallur;117;2.8;125;790
44035 Barrachina;75;2.24;80;348
44036 Bea;12;2.96;13;560
44037 Beceite;203;3.0;217;557
50045 Belchite;669;2.49;716;995
44039 Bello;125;2.28;134;484
50046 Belmonte de Gracián;100;2.37;107;1013
44038 Belmonte de San José;59;2.31;63;395
22052 Belver de Cinca;587;2.32;628;987
22053 Benabarre;436;2.7;467;498
22054 Benasque;909;2.44;973;456
22246 Beranuy;41;2.51;44;267
22055 Berbegal;140;3.14;150;298
50047 Berdejo;23;2.8;25;382
44040 Berge;88;3.11;94;394
50048 Berrueco;19;2.3;20;1031
44041 Bezas;31;2.54;33;1012
50901 Biel;68;2.72;73;603
22057 Bielsa;224;2.28;240;469
22058 Bierge;117;2.21;125;635
22059 Biescas;575;2.84;615;769
50050 Bijuesca;41;2.78;44;1030
22060 Binaced;577;2.59;617;304
22061 Binéfar;3523;2.67;3770;672
50051 Biota;431;2.59;461;289
22062 Bisaurri;93;2.23;100;591
22063 Biscarrués;91;2.51;97;708
50052 Bisimbre;45;2.4;48;492
44042 Blancas;72;2.31;77;726
22064 Blecua y Torres;66;3.13;71;530
44043 Blesa;43;2.79;46;398
22066 Boltaña;362;2.9;387;313
22067 Bonansa;41;2.49;44;481
50053 Boquiñeni;387;2.57;414;781
22068 Borau;33;2.43;35;398
50054 Bordalba;32;2.33;34;587
44044 Bordón;59;2.38;63;947
50055 Borja;1703;2.96;1822;311
50056 Botorrita;187;2.86;200;1046
50057 Brea de Aragón;682;2.72;730;550
44045 Bronchales;181;2.65;194;291
22069 Broto;175;3.09;187;878
50058 Bubierca;36;2.32;39;713
44046 Bueña;27;2.48;29;850
50059 Bujaraloz;417;2.53;446;765
50060 Bulbuente;84;2.95;90;621
44047 Burbáguena;94;3.15;101;682
50061 Bureta;111;2.43;119;338
50062 Burgo de Ebro (El);766;3.03;820;647
50063 Buste (El);29;3.02;31;394
50064 Cabañas de Ebro;230;2.42;246;440
50065 Cabolafuente;19;2.57;20;944
44048 Cabra de Mora;35;2.55;37;915
50066 Cadrete;976;3.13;1044;633
44049 Calaceite;483;2.37;517;972
44050 Calamocha;1571;2.96;1681;828
44051 Calanda;1589;2.52;1700;420
50067 Calatayud;7489;2.9;8013;367
50068 Calatorao;1190;2.6;1273;668
50069 Calcena;25;2.73;27;464
22072 Caldearenas;82;2.99;88;1039
50070 Calmarza;26;2.92;28;641
44052 Calomarde;28;3.03;30;286
44053 Camañas;55;2.26;59;872
44054 Camarena de la Sierra;58;2.84;62;533
44055 Camarillas;51;2.33;55;958
44056 Caminreal;293;2.59;314;337
50071 Campillo de Aragón;57;2.72;61;268
22074 Campo;138;2.57;148;784
22075 Camporrélls;72;2.69;77;608
22076 Canal de Berdún;126;3.15;135;952
22077 Candasnos;176;2.33;188;554
22078 Canfranc;219;2.85;234;736
44059 Cantavieja;290;2.58;310;773
44060 Cañada de Benatanduz;18;2.38;19;380
44061 Cañada de Verich (La);47;2.35;50;513
44062 Cañada Vellida;14;2.99;15;457
44063 Cañizar del Olivar;36;3.07;39;323
22079 Capdesaso;53;3.08;57;827
22080 Capella;117;3.14;125;802
50072 Carenas;81;2.42;87;318
50073 Cariñena;1467;2.54;1570;731
22081 Casbas de Huesca;105;2.85;112;308
44064 Cascante del Río;29;2.69;31;917
50074 Caspe;3842;2.6;4111;502
50075 Castejón de Alarba;38;2.56;41;338
50076 Castejón de las Armas;44;2.78;47;917
22083 Castejón de Monegros;240;2.75;257;977
22084 Castejón de Sos;334;2.36;357;453
44065 Castejón de Tornos;27;2.6;29;689
50077 Castejón de Valdejasa;104;2.73;111;346
22082 Castejón del Puente;146;2.74;156;1000
44066 Castel de Cabra;57;2.44;61;1010
22085 Castelflorite;45;2.92;48;608
44070 Castellar (El);30;2.26;32;793
44071 Castellote;317;2.54;339;927
44067 Castelnou;41;2.93;44;652
44068 Castelserás;303;2.74;324;871
22086 Castiello de Jaca;104;2.45;111;439
22087 Castigaleu;41;2.9;44;957
50078 Castiliscar;123;2.74;132;680
22088 Castillazuelo;65;2.97;70;748
22089 Castillonroy;131;2.89;140;437
44074 Cedrillas;224;2.78;240;696
44075 Celadas;165;2.67;177;668
44076 Cella;1267;2.33;1356;347
44077 Cerollera (La);46;2.45;49;415
50079 Cervera de la Cañada;119;2.61;127;744
50080 Cerveruela;15;2.77;16;617
50081 Cetina;259;2.69;277;784
22094 Chalamera;51;2.5;55;452
22095 Chía;47;2.24;50;940
22096 Chimillas;134;2.68;143;551
50092 Chiprana;111;2.48;119;308
50093 Chodes;51;2.92;55;648
50082 Cimballa;57;2.22;61;584
50083 Cinco Olivas;45;2.75;48;697
50084 Clarés de Ribota;32;3.11;34;819
50085 Codo;89;2.37;95;768
44080 Codoñera (La);150;2.65;160;495
50086 Codos;112;2.28;120;615
22090 Colungo;52;2.81;56;868
50087 Contamina;14;2.67;15;391
44082 Corbalán;39;2.57;42;694
44084 Cortes de Aragón;28;2.65;30;285
44085 Cosa;21;3.03;22;297
50088 Cosuenda;163;2.39;174;359
44086 Cretas;277;2.23;296;526
44087 Crivillén;31;3.04;33;995
50089 Cuarte de Huerva;3148;2.75;3368;305
44088 Cuba (La);17;3.15;18;871
50090 Cubel;69;2.78;74;838
44089 Cubla;20;3.03;21;774
44090 Cucalón;39;2.6;42;1010
50091 Cuerlas (Las);22;2.94;24;476
44092 Cuervo (El);34;3.11;36;926
44093 Cuevas de Almudén;48;2.75;51;560
44094 Cuevas Labradas;60;2.36;64;281
50094 Daroca;935;2.46;1000;496
50095 Ejea de los Caballeros;7257;2.39;7765;356
44096 Ejulve;81;2.43;87;870
50096 Embid de Ariza;22;2.58;24;403
50098 Encinacorba;93;2.71;100;785
50099 Épila;1726;2.76;1847;869
50100 Erla;163;2.59;174;799
50101 Escatrón;407;2.78;435;599
44097 Escorihuela;81;2.28;87;654
44099 Escucha;443;2.29;474;1001
22099 Esplús;287;2.36;307;755
22102 Estada;87;2.71;93;710
22103 Estadilla;358;2.4;383;337
44100 Estercuel;110;2.47;118;724
22105 Estopiñán del Castillo;69;2.57;74;973
50102 Fabara;423;2.97;453;679
22106 Fago;12;2.21;13;470
22107 Fanlo;48;2.85;51;630
50104 Farlete;155;2.84;166;453
50105 Fayón;137;2.97;147;548
50106 Fayos (Los);50;3.06;54;931
44101 Ferreruela de Huerva;33;2.22;35;668
50107 Figueruelas;567;2.35;607;880
22109 Fiscal;105;3.03;112;921
50108 Fombuena;20;2.58;21;472
44102 Fonfría;11;2.77;12;842
22110 Fonz;364;2.84;389;894
22111 Foradada del Toscar;75;2.86;80;801
44103 Formiche Alto;62;3.07;66;508
44105 Fórnoles;33;3.15;35;420
44106 Fortanete;78;2.88;83;807
44107 Foz-Calanda;119;2.48;127;954
22112 Fraga;4798;3.03;5134;676
50109 Frago (El);47;2.24;50;281
50110 Frasno (El);197;2.42;211;282
50111 Fréscano;72;3.04;77;788
44108 Fresneda (La);209;2.45;224;773
44109 Frías de Albarracín;65;2.39;70;572
50113 Fuendejalón;409;2.33;438;387
50114 Fuendetodos;57;3.04;61;388
44110 Fuenferrada;14;2.62;15;434
44111 Fuentes Calientes;42;2.85;45;537
44112 Fuentes Claras;242;2.44;259;658
50115 Fuentes de Ebro;1581;2.92;1692;855
50116 Fuentes de Jiloca;96;2.92;103;655
44113 Fuentes de Rubielos;51;2.49;55;341
44114 Fuentespalda;132;2.58;141;811
22113 Fueva (La);258;2.4;276;986
50117 Gallocanta;49;3.13;52;362
50118 Gallur;1070;2.81;1145;662
44115 Galve;50;3.11;54;993
44116 Gargallo;47;2.51;50;464
44117 Gea de Albarracín;146;2.94;156;766
50119 Gelsa;410;2.93;439;855
44118 Ginebrosa (La);80;2.86;86;275
22114 Gistaín;47;3.11;50;350
50120 Godojos;18;2.57;19;860
50121 Gotor;171;2.33;183;675
22115 Grado (El);175;2.82;187;958
22116 Grañén;666;2.9;713;826
22117 Graus;1345;2.75;1439;578
44119 Griegos;55;2.42;59;746
50122 Grisel;30;2.65;32;680
50123 Grisén;222;2.5;238;299
44120 Guadalaviar;93;2.6;100;770
44121 Gúdar;29;2.86;31;341
22119 Gurrea de Gállego;572;2.91;612;755
50124 Herrera de los Navarros;253;2.43;271;1003
44122 Híjar;736;2.58;788;893
44123 Hinojosa de Jarque;61;2.46;65;596
22122 Hoz de Jaca;30;2.38;32;314
44124 Hoz de la Vieja (La);30;2.98;32;374
22908 Hoz y Costean;67;3.08;72;842
22124 Huerto;106;2.56;113;970
44125 Huesa del Común;31;2.95;33;603
22125 Huesca;17107;3.06;18304;971
50125 Ibdes;164;2.99;175;712
22126 Ibieca;46;2.37;49;752
44126 Iglesuela del Cid (La);163;3.1;174;806
22127 Igriés;245;2.56;262;436
22128 Ilche;98;2.52;105;450
50126 Illueca;1475;2.27;1578;321
22129 Isábena;117;2.68;125;935
50128 Isuerre;16;2.31;17;952
44127 Jabaloyas;33;2.47;35;848
22130 Jaca;5328;2.51;5701;431
50129 Jaraba;122;2.96;131;864
44128 Jarque de la Val;30;3.0;32;818
50130 Jarque de Moncayo;221;2.49;236;360
22131 Jasa;39;2.99;42;1029
44129 Jatiel;18;2.95;19;736
50131 Jaulín;111;2.92;119;890
44130 Jorcas;18;2.38;19;831
44131 Josa;12;2.91;13;790
50132 Joyosa (La);302;3.1;323;634
22133 Labuerda;59;2.84;63;504
50133 Lagata;54;2.5;58;723
44132 Lagueruela;23;2.67;25;508
22135 Laluenga;78;2.82;83;362
22136 Lalueza;409;2.69;438;888
22137 Lanaja;611;2.32;654;750
50134 Langa del Castillo;61;2.49;65;352
44133 Lanzuela;9;2.92;10;716
22139 Laperdiguera;34;3.02;36;986
22141 Lascellas-Ponzano;66;2.33;71;358
22142 Lascuarre;51;3.09;55;284
22143 Laspaúles;117;2.53;125;803
22144 Laspuña;102;2.82;109;512
50135 Layana;42;2.93;45;970
50136 Lécera;258;2.97;276;1048
50138 Lechón;18;3.09;19;529
50137 Leciñena;522;2.5;559;366
50139 Letux;142;3.0;152;284
44135 Libros;66;2.32;71;960
44136 Lidón;20;2.84;21;634
44137 Linares de Mora;108;2.9;116;1022
50140 Litago;64;2.85;68;753
50141 Lituénigo;51;2.45;55;883
44141 Lledó;56;3.01;60;525
22149 Loarre;157;2.36;168;677
50142 Lobera de Onsella;23;2.18;25;486
50143 Longares;310;2.89;332;310
50144 Longás;13;2.7;14;828
22150 Loporzano;180;3.0;193;839
22151 Loscorrales;42;2.57;45;887
44138 Loscos;75;2.37;80;386
50146 Lucena de Jalón;104;2.98;111;641
50147 Luceni;404;2.72;432;856
50148 Luesia;152;2.37;163;886
50149 Luesma;14;2.8;15;905
50150 Lumpiaque;348;2.69;372;866
50151 Luna;305;2.77;326;832
22905 Lupiñén-Ortilla;152;2.62;163;886
50152 Maella;678;2.99;725;474
50153 Magallón;403;2.99;431;546
44142 Maicas;14;2.96;15;410
50154 Mainar;73;2.3;78;1023
50155 Malanquilla;42;3.02;45;1030
50156 Maleján;121;2.85;129;679
50160 Mallén;1291;2.87;1381;529
50157 Malón;149;2.54;159;1042
50159 Maluenda;361;3.03;386;741
50161 Manchones;43;2.88;46;546
44143 Manzanera;239;2.31;256;772
50162 Mara;80;2.58;86;641
50163 María de Huerva;1556;3.04;1665;936
50902 Marracos;44;2.25;47;319
44144 Martín del Río;150;3.13;160;435
44145 Mas de las Matas;496;2.85;531;983
44146 Mata de los Olmos (La);103;2.81;110;488
44147 Mazaleón;238;2.46;255;806
50164 Mediana de Aragón;196;2.45;210;423
50165 Mequinenza;805;3.1;861;314
50166 Mesones de Isuela;127;2.49;136;556
50167 Mezalocha;77;2.94;82;462
44148 Mezquita de Jarque;47;2.54;50;720
50168 Mianos;18;2.26;19;1018
50169 Miedes de Aragón;214;2.22;229;983
44149 Mirambel;46;2.71;49;808
44150 Miravete de la Sierra;12;3.07;13;766
44151 Molinos;119;2.55;127;579
50170 Monegrillo;189;2.54;202;348
22155 Monesma y Cajigar;42;2.5;45;427
50171 Moneva;45;2.7;48;285
22156 Monflorite-Lascasas;119;2.62;127;724
44152 Monforte de Moyuela;23;2.98;25;666
50172 Monreal de Ariza;71;2.67;76;816
44153 Monreal del Campo;1028;2.69;1100;1031
44154 Monroyo;163;2.33;174;915
44155 Montalbán;450;3.13;482;338
22157 Montanuy;117;2.43;125;781
44156 Monteagudo del Castillo;32;2.23;34;968
50173 Monterde;68;2.84;73;518
44157 Monterde de Albarracín;25;2.72;27;908
50174 Montón;51;2.59;55;1045
22158 Monzón;6583;2.6;7044;290
44158 Mora de Rubielos;578;2.95;618;757
50175 Morata de Jalón;566;2.39;606;958
50176 Morata de Jiloca;101;2.97;108;1049
50177 Morés;156;2.81;167;602
50178 Moros;181;2.59;194;814
44159 Moscardón;27;2.65;29;876
44160 Mosqueruela;248;2.45;265;842
50179 Moyuela;89;2.93;95;272
50180 Mozota;42;2.71;45;948
50181 Muel;552;2.51;591;952
50182 Muela (La);1865;2.77;1996;880
50183 Munébrega;155;3.15;166;540
44161 Muniesa;256;2.61;274;511
50184 Murero;47;3.09;50;458
50185 Murillo de Gállego;75;2.52;80;784
22160 Naval;117;2.27;125;777
50186 Navardún;21;2.38;22;974
50187 Nigüella;31;2.6;33;552
44163 Noguera de Albarracín;56;2.4;60;878
44164 Nogueras;15;2.26;16;613
44165 Nogueruelas;77;3.07;82;314
50188 Nombrevilla;11;3.07;12;412
50189 Nonaspe;365;2.91;391;424
22162 Novales;76;2.37;81;421
50190 Novallas;396;2.32;424;643
50191 Novillas;276;2.27;295;274
22163 Nueno;192;2.9;205;925
50192 Nuévalos;115;3.09;123;511
50193 Nuez de Ebro;307;2.61;328;800
44167 Obón;15;2.4;16;675
44168 Odón;82;2.69;88;968
44169 Ojos Negros;193;2.53;207;454
44171 Olba;93;2.56;100;1006
44172 Oliete;172;2.79;184;808
44173 Olmos (Los);44;2.88;47;922
22164 Olvena;25;2.34;27;873
50194 Olvés;51;2.25;55;748
22165 Ontiñena;187;3.14;200;1012
50195 Orcajo;14;2.44;15;615
50196 Orera;57;2.26;61;779
50197 Orés;42;2.39;45;787
44174 Orihuela del Tremedal;251;2.25;269;642
44175 Orrios;62;2.57;66;1006
50198 Oseja;19;2.95;20;1019
50199 Osera de Ebro;187;2.53;200;865
22167 Osso de Cinca;281;2.62;301;885
22168 Palo;8;2.94;9;422
44176 Palomar de Arroyos;74;2.68;79;388
44177 Pancrudo;45;3.04;48;995
50200 Paniza;250;3.03;268;371
22170 Panticosa;369;2.22;395;649
50201 Paracuellos de Jiloca;195;2.95;209;602
50202 Paracuellos de la Ribera;73;2.65;78;307
44178 Parras de Castellote (Las);24;3.1;26;658
50203 Pastriz;520;2.66;556;1030
50204 Pedrola;1185;3.14;1268;617
50205 Pedrosas (Las);42;2.88;45;830
22172 Peñalba;312;2.44;334;848
44179 Peñarroya de Tastavins;190;2.72;203;586
22173 Peñas de Riglos (Las);85;3.15;91;562
44180 Peracense;30;2.97;32;304
44181 Peralejos;34;2.29;36;1014
44182 Perales del Alfambra;97;2.87;104;401
22174 Peralta de Alcofea;244;2.53;261;560
22175 Peralta de Calasanz;106;2.22;113;716
22176 Peraltilla;78;2.58;83;853
22177 Perarrúa;46;2.45;49;380
50206 Perdiguera;223;2.98;239;704
22178 Pertusa;45;2.51;48;611
50207 Piedratajada;51;2.96;55;596
50208 Pina de Ebro;1201;2.21;1285;862
50209 Pinseque;1392;2.5;1489;958
50210 Pintanos (Los);15;2.5;16;274
22181 Piracés;43;2.4;46;810
44183 Pitarque;42;2.27;45;506
22182 Plan;142;2.37;152;1008
50211 Plasencia de Jalón;148;2.73;158;722
50212 Pleitas;19;2.48;20;671
50213 Plenas;50;2.62;54;709
44184 Plou;17;2.52;18;952
44185 Pobo (El);46;3.01;49;893
22184 Poleñino;73;3.08;78;520
50214 Pomer;14;2.62;15;906
44187 Portellada (La);104;2.52;111;596
22186 Pozán de Vero;105;2.32;112;428
44189 Pozondón;27;3.09;29;706
50215 Pozuel de Ariza;9;2.23;10;1035
44190 Pozuel del Campo;40;2.5;43;1025
50216 Pozuelo de Aragón;137;2.49;147;274
50217 Pradilla de Ebro;246;2.51;263;655
50218 Puebla de Albortón;53;2.34;57;864
50219 Puebla de Alfindén (La);1786;2.94;1911;278
22187 Puebla de Castro (La);187;2.32;200;433
44191 Puebla de Híjar (La);359;2.8;384;1018
44192 Puebla de Valverde (La);246;2.32;263;868
50220 Puendeluna;29;2.24;31;565
22188 Puente de Montañana;48;3.06;51;590
22902 Puente la Reina de Jaca;91;2.37;97;884
22189 Puértolas;81;2.97;87;962
44193 Puertomingalvo;76;2.73;81;456
22190 Pueyo de Araguás (El);66;2.28;71;339
22193 Pueyo de Santa Cruz;119;3.11;127;1006
50221 Purujosa;18;2.48;19;838
22195 Quicena;100;3.02;107;872
50222 Quinto;894;2.36;957;431
44194 Ráfales;56;3.02;60;969
50223 Remolinos;540;2.22;578;609
50224 Retascón;29;2.73;31;440
50225 Ricla;1218;2.93;1303;1049
44195 Rillo;36;3.12;39;641
44196 Riodeva;59;3.06;63;872
22197 Robres;211;2.98;226;837
44197 Ródenas;26;3.04;28;737
50227 Romanos;47;2.39;50;1005
44198 Royuela;100;2.48;107;725
44199 Rubiales;23;2.45;25;466
44200 Rubielos de la Cérida;17;2.59;18;436
44201 Rubielos de Mora;300;2.57;321;838
50228 Rueda de Jalón;130;2.72;139;634
50229 Ruesca;32;2.35;34;1048
50241 Sabiñán;277;2.86;296;638
22199 Sabiñánigo;4400;2.36;4708;280
50230 Sádaba;668;2.5;715;478
22200 Sahún;134;2.69;143;515
22201 Salas Altas;105;2.95;112;364
22202 Salas Bajas;51;2.9;55;643
44203 Salcedillo;3;2.89;3;432
44204 Saldón;12;2.38;13;502
22203 Salillas;40;2.74;43;949
50231 Salillas de Jalón;164;2.29;175;326
22204 Sallent de Gállego;602;2.56;644;956
50232 Salvatierra de Esca;91;2.59;97;302
44205 Samper de Calanda;411;2.25;440;907
50233 Samper del Salz;52;2.47;56;912
44206 San Agustín;49;3.09;52;586
22205 San Esteban de Litera;170;3.1;182;1011
22207 San Juan de Plan;60;2.55;64;337
50234 San Martín de la Virgen de Moncayo;131;2.25;140;1004
44207 San Martín del Río;84;2.36;90;711
50235 San Mateo de Gállego;1198;2.57;1282;564
22903 San Miguel del Cinca;273;3.11;292;559
22206 Sangarrén;103;2.34;110;573
22208 Santa Cilia;72;2.92;77;966
50236 Santa Cruz de Grío;70;2.33;75;770
22209 Santa Cruz de la Serós;44;3.12;47;609
50237 Santa Cruz de Moncayo;49;2.56;52;668
44208 Santa Cruz de Nogueras;13;2.87;14;325
44209 Santa Eulalia;455;2.53;487;465
50238 Santa Eulalia de Gállego;45;2.77;48;445
22906 Santa María de Dulcis;93;2.38;100;553
22212 Santaliestra y San Quílez;46;2.32;49;422
50239 Santed;20;3.06;21;875
22213 Sariñena;1438;3.08;1539;306
44210 Sarrión;375;3.04;401;924
50240 Sástago;452;2.79;484;894
22214 Secastilla;51;2.95;55;955
50242 Sediles;49;2.27;52;354
44211 Segura de los Baños;16;2.5;17;591
22215 Seira;63;2.49;67;1028
22217 Sena;196;2.8;210;683
22218 Senés de Alcubierre;27;2.49;29;350
44212 Seno;21;2.31;22;940
22220 Sesa;81;2.79;87;558
50243 Sestrica;135;2.98;144;919
22221 Sesué;49;2.58;52;963
50244 Sierra de Luna;132;2.34;141;976
22222 Siétamo;278;2.39;297;318
50245 Sigüés;54;2.44;58;483
44213 Singra;40;2.47;43;278
50246 Sisamón;17;2.89;18;1041
50247 Sobradiel;361;2.77;386;682
22223 Sopeira;42;2.88;45;541
50248 Sos del Rey Católico;260;2.55;278;875
22904 Sotonera (La);356;2.98;381;896
50249 Tabuenca;172;2.4;184;652
50250 Talamantes;23;2.69;25;540
22225 Tamarite de Litera;1260;2.96;1348;338
50251 Tarazona;4697;2.37;5026;758
22226 Tardienta;436;2.31;467;988
50252 Tauste;2489;3.04;2663;444
22227 Tella-Sin;105;2.53;112;826
50253 Terrer;181;2.86;194;646
44215 Terriente;83;2.24;89;898
44216 Teruel;12322;2.86;13185;678
50254 Tierga;72;2.5;77;431
22228 Tierz;306;2.26;327;422
50255 Tobed;92;2.78;98;800
22229 Tolva;70;2.45;75;312
44217 Toril y Masegoso;13;2.52;14;559
22230 Torla-Ordesa;144;2.28;154;721
44218 Tormón;13;2.38;14;1039
44219 Tornos;94;2.48;101;839
22232 Torralba de Aragón;48;2.29;51;567
50256 Torralba de los Frailes;31;3.11;33;956
44220 Torralba de los Sisones;98;2.21;105;747
50257 Torralba de Ribota;74;2.68;79;428
50258 Torralbilla;28;2.3;30;752
44223 Torre de Arcas;38;2.5;41;583
44224 Torre de las Arcas;13;2.92;14;994
44225 Torre del Compte;65;2.37;70;1016
22233 Torre la Ribera;38;3.12;41;540
44227 Torre los Negros;44;2.39;47;899
44221 Torrecilla de Alcañiz;151;2.92;162;904
44222 Torrecilla del Rebollar;55;2.73;59;434
50259 Torrehermosa;28;3.0;30;472
44226 Torrelacárcel;82;2.71;88;993
50260 Torrelapaja;17;2.62;18;830
50261 Torrellas;123;2.38;132;1048
44228 Torremocha de Jiloca;63;2.36;67;502
22234 Torrente de Cinca;416;3.07;445;467
44229 Torres de Albarracín;69;2.53;74;679
22235 Torres de Alcanadre;41;2.58;44;895
22236 Torres de Barbués;103;2.93;110;763
50262 Torres de Berrellén;594;2.52;636;1012
44230 Torrevelilla;69;3.1;74;547
44231 Torrijas;23;2.85;25;795
50263 Torrijo de la Cañada;100;2.78;107;821
44232 Torrijo del Campo;178;3.02;190;768
50264 Tosos;108;2.26;116;349
44234 Tramacastiel;40;2.43;43;716
44235 Tramacastilla;41;2.62;44;546
22239 Tramaced;41;2.45;44;611
50265 Trasmoz;27;2.87;29;472
50266 Trasobares;49;3.08;52;725
44236 Tronchón;40;2.62;43;350
50267 Uncastillo;309;2.53;331;494
50268 Undués de Lerda;23;3.1;25;337
44237 Urrea de Gaén;200;2.62;214;458
50269 Urrea de Jalón;155;2.67;166;1006
50270 Urriés;14;2.57;15;476
50271 Used;107;3.06;114;508
50272 Utebo;6569;2.74;7029;309
44238 Utrillas;1129;2.93;1208;777
50274 Val de San Martín;27;2.95;29;815
44239 Valacloche;12;2.52;13;1035
44240 Valbona;86;2.61;92;741
44241 Valdealgorfa;228;3.0;244;964
44243 Valdecuenca;22;2.54;24;619
50273 Valdehorna;12;3.04;13;302
44244 Valdelinares;38;3.08;41;827
44245 Valdeltormo;118;2.79;126;626
44246 Valderrobres;787;2.91;842;568
22242 Valfarta;29;2.97;31;1035
44247 Valjunquera;135;2.99;144;763
22243 Valle de Bardají;19;2.58;20;888
22901 Valle de Hecho;425;2.26;455;919
22244 Valle de Lierp;26;2.54;28;537
44249 Vallecillo (El);16;2.93;17;1013
50275 Valmadrid;41;2.64;44;449
