Lugar de residencia;Number_of_households;Average_household_size;Number_of_dwellings;Average_rent_price
50018 Alfamén;470;2.78;484;750
22020 Alfántega;41;3.11;42;661
50019 Alforque;28;3.25;29;328
50020 Alhama de Aragón;517;2.33;533;625
44017 Aliaga;129;3.27;133;337
44021 Allepuz;60;2.39;62;209
44022 Alloza;263;3.11;271;525
44023 Allueva;5;2.68;5;468
50021 Almochuel;18;2.4;19;679
44018 Almohaja;12;2.56;12;494
50022 Almolda (La);241;2.95;248;653
50023 Almonacid de la Cuba;131;2.68;135;658
50024 Almonacid de la Sierra;360;2.37;371;530
22021 Almudévar;818;2.9;843;419
50025 Almunia de Doña Godina (La);1682;3.2;1732;430
22022 Almunia de San Juan;265;2.68;273;565
22023 Almuniente;246;2.52;253;279
44019 Alobras;34;2.75;35;200
50026 Alpartir;265;2.35;273;397
44020 Alpeñés;10;3.15;10;316
22024 Alquézar;97;3.12;100;473
22025 Altorricón;501;2.89;516;524
50027 Ambel;135;2.66;139;311
44024 Anadón;6;3.2;6;735
44025 Andorra;2858;2.86;2944;654
50028 Anento;24;3.12;25;592
22027 Angüés;146;2.93;150;497
50029 Aniñón;292;3.09;301;564
22028 Ansó;180;2.92;185;672
22029 Antillón;59;2.74;61;348
50030 Añón de Moncayo;96;3.27;99;651
22032 Aragüés del Puerto;49;2.84;50;487
50031 Aranda de Moncayo;82;2.9;84;700
50032 Arándiga;207;2.53;213;655
44026 Arcos de las Salinas;55;2.94;57;713
50033 Ardisa;28;2.88;29;558
22035 Arén;159;2.5;164;229
44027 Arens de Lledó;101;2.37;104;195
22036 Argavieso;43;2.92;44;542
44028 Argente;87;3.08;90;365
22037 Arguis;20;2.81;21;503
44029 Ariño;362;2.53;373;646
50034 Ariza;449;2.97;462;470
50035 Artieda;43;2.39;44;756
50036 Asín;37;2.74;38;304
50037 Atea;98;2.49;101;556
50038 Ateca;818;2.5;843;635
22039 Ayerbe;445;2.51;458;414
44031 Azaila;69;2.68;71;487
22040 Azanuy-Alins;85;2.38;88;509
22041 Azara;83;2.7;85;612
22042 Azlor;59;2.81;61;256
50039 Azuara;261;2.78;269;537
44032 Bádenas;9;2.83;9;604
50040 Badules;36;3.21;37;250
22043 Baélls;64;2.46;66;464
44033 Báguena;186;2.81;192;217
50041 Bagüés;13;2.52;13;645
22044 Bailo;135;2.38;139;732
50042 Balconchán;10;2.98;10;720
22045 Baldellou;54;2.89;56;657
22046 Ballobar;341;3.18;351;439
22047 Banastás;62;2.86;64;487
44034 Bañón;55;3.28;57;473
22048 Barbastro;6154;2.35;6339;489
50043 Bárboles;137;2.4;141;201
22049 Barbués;51;2.33;53;326
22050 Barbuñales;44;2.5;45;694
22051 Bárcabo;42;2.85;43;610
50044 Bardallur;105;2.94;108;580
44035 Barrachina;73;2.34;75;255
44036 Bea;15;3.1;15;410
44037 Beceite;208;3.15;214;409
50045 Belchite;623;2.61;642;730
44039 Bello;171;2.39;176;355
50046 Belmonte de Gracián;121;2.49;125;743
44038 Belmonte de San José;66;2.42;68;290
22052 Belver de Cinca;575;2.43;592;724
22053 Benabarre;412;2.83;424;365
22054 Benasque;515;2.55;530;334
22246 Beranuy;44;2.63;45;196
22055 Berbegal;145;3.29;149;219
50047 Berdejo;17;2.94;18;280
44040 Berge;68;3.26;70;289
50048 Berrueco;17;2.41;18;756
44041 Bezas;26;2.66;27;743
50901 Biel;70;2.85;72;442
22057 Bielsa;193;2.39;199;344
22058 Bierge;97;2.31;100;466
22059 Biescas;419;2.97;432;564
50050 Bijuesca;46;2.92;47;756
22060 Binaced;587;2.72;605;223
22061 Binéfar;2909;2.79;2996;493
50051 Biota;464;2.72;478;212
22062 Bisaurri;94;2.33;97;433
22063 Biscarrués;86;2.63;89;519
50052 Bisimbre;54;2.52;56;361
44042 Blancas;81;2.42;83;532
22064 Blecua y Torres;54;3.28;56;388
44043 Blesa;53;2.93;55;292
22066 Boltaña;278;3.04;286;229
22067 Bonansa;28;2.61;29;353
50053 Boquiñeni;373;2.7;384;573
22068 Borau;30;2.54;31;292
50054 Bordalba;40;2.44;41;431
44044 Bordón;58;2.5;60;695
50055 Borja;1290;3.1;1329;228
50056 Botorrita;158;2.99;163;767
50057 Brea de Aragón;709;2.85;730;403
44045 Bronchales;159;2.77;164;213
22069 Broto;158;3.23;163;644
50058 Bubierca;44;2.43;45;523
44046 Bueña;41;2.6;42;624
50059 Bujaraloz;384;2.65;396;561
50060 Bulbuente;82;3.09;84;455
44047 Burbáguena;101;3.3;104;501
50061 Bureta;129;2.54;133;248
50062 Burgo de Ebro (El);469;3.18;483;475
50063 Buste (El);36;3.17;37;289
50064 Cabañas de Ebro;204;2.53;210;323
50065 Cabolafuente;37;2.7;38;692
44048 Cabra de Mora;40;2.67;41;671
50066 Cadrete;417;3.28;430;464
44049 Calaceite;495;2.49;510;713
44050 Calamocha;1295;3.1;1334;607
44051 Calanda;1338;2.64;1378;308
50067 Calatayud;5450;3.04;5614;269
50068 Calatorao;996;2.73;1026;490
50069 Calcena;33;2.86;34;340
22072 Caldearenas;83;3.14;85;762
50070 Calmarza;32;3.06;33;470
44052 Calomarde;27;3.18;28;210
44053 Camañas;60;2.37;62;639
44054 Camarena de la Sierra;58;2.97;60;391
44055 Camarillas;51;2.44;53;703
44056 Caminreal;300;2.72;309;247
50071 Campillo de Aragón;70;2.85;72;197
22074 Campo;133;2.7;137;575
22075 Camporrélls;90;2.82;93;446
22076 Canal de Berdún;131;3.3;135;698
22077 Candasnos;233;2.44;240;406
22078 Canfranc;177;2.98;182;540
44059 Cantavieja;268;2.71;276;567
44060 Cañada de Benatanduz;26;2.5;27;278
44061 Cañada de Verich (La);45;2.46;46;376
44062 Cañada Vellida;19;3.14;20;335
44063 Cañizar del Olivar;40;3.21;41;237
22079 Capdesaso;55;3.22;57;607
22080 Capella;122;3.29;126;588
50072 Carenas;95;2.53;98;233
50073 Cariñena;1088;2.66;1121;536
22081 Casbas de Huesca;103;2.98;106;226
44064 Cascante del Río;45;2.82;46;673
50074 Caspe;2839;2.73;2924;368
50075 Castejón de Alarba;46;2.68;47;248
50076 Castejón de las Armas;49;2.92;50;673
22083 Castejón de Monegros;251;2.88;259;717
22084 Castejón de Sos;215;2.48;221;332
44065 Castejón de Tornos;40;2.73;41;505
50077 Castejón de Valdejasa;119;2.86;123;254
22082 Castejón del Puente;139;2.87;143;734
44066 Castel de Cabra;72;2.55;74;741
22085 Castelflorite;50;3.06;52;446
44070 Castellar (El);44;2.37;45;581
44071 Castellote;280;2.66;288;680
44067 Castelnou;34;3.07;35;478
44068 Castelserás;303;2.87;312;639
22086 Castiello de Jaca;62;2.56;64;322
22087 Castigaleu;34;3.04;35;702
50078 Castiliscar;143;2.87;147;498
22088 Castillazuelo;75;3.11;77;549
22089 Castillonroy;140;3.03;144;321
44074 Cedrillas;186;2.92;192;510
44075 Celadas;151;2.79;156;490
44076 Cella;1210;2.44;1246;255
44077 Cerollera (La);33;2.56;34;304
50079 Cervera de la Cañada;129;2.74;133;546
50080 Cerveruela;2;2.9;2;453
50081 Cetina;261;2.82;269;575
22094 Chalamera;63;2.62;65;331
22095 Chía;49;2.34;50;690
22096 Chimillas;63;2.81;65;404
50092 Chiprana;150;2.6;154;226
50093 Chodes;41;3.06;42;475
50082 Cimballa;58;2.32;60;428
50083 Cinco Olivas;45;2.88;46;511
50084 Clarés de Ribota;30;3.26;31;601
50085 Codo;113;2.49;116;563
44080 Codoñera (La);127;2.77;131;363
50086 Codos;121;2.39;125;451
22090 Colungo;42;2.95;43;637
50087 Contamina;20;2.79;21;287
44082 Corbalán;26;2.7;27;509
44084 Cortes de Aragón;48;2.77;49;209
44085 Cosa;33;3.18;34;218
50088 Cosuenda;168;2.51;173;263
44086 Cretas;271;2.33;279;386
44087 Crivillén;42;3.19;43;730
50089 Cuarte de Huerva;606;2.88;624;224
44088 Cuba (La);20;3.3;21;639
50090 Cubel;83;2.92;85;614
44089 Cubla;18;3.18;19;568
44090 Cucalón;29;2.73;30;740
50091 Cuerlas (Las);33;3.08;34;349
44092 Cuervo (El);40;3.26;41;679
44093 Cuevas de Almudén;37;2.88;38;410
44094 Cuevas Labradas;70;2.48;72;206
50094 Daroca;898;2.57;925;364
50095 Ejea de los Caballeros;5870;2.51;6046;261
44096 Ejulve;88;2.54;91;638
50096 Embid de Ariza;24;2.71;25;295
50098 Encinacorba;114;2.84;117;576
50099 Épila;1370;2.89;1411;637
50100 Erla;176;2.72;181;586
50101 Escatrón;414;2.92;426;439
44097 Escorihuela;99;2.39;102;480
44099 Escucha;478;2.4;492;734
22099 Esplús;321;2.48;331;554
22102 Estada;65;2.84;67;520
22103 Estadilla;368;2.52;379;247
44100 Estercuel;144;2.59;148;531
22105 Estopiñán del Castillo;70;2.7;72;713
50102 Fabara;398;3.11;410;498
22106 Fago;17;2.31;18;345
22107 Fanlo;40;2.98;41;462
50104 Farlete;156;2.97;161;332
50105 Fayón;126;3.11;130;402
50106 Fayos (Los);61;3.2;63;683
44101 Ferreruela de Huerva;36;2.32;37;490
50107 Figueruelas;405;2.46;417;646
22109 Fiscal;72;3.18;74;675
50108 Fombuena;8;2.71;8;346
44102 Fonfría;11;2.9;11;617
22110 Fonz;378;2.97;389;656
22111 Foradada del Toscar;84;2.99;87;587
44103 Formiche Alto;61;3.21;63;372
44105 Fórnoles;31;3.3;32;308
44106 Fortanete;65;3.01;67;592
44107 Foz-Calanda;92;2.6;95;700
22112 Fraga;3712;3.18;3823;496
50109 Frago (El);42;2.34;43;206
50110 Frasno (El);219;2.53;226;207
50111 Fréscano;82;3.19;84;578
44108 Fresneda (La);163;2.56;168;567
44109 Frías de Albarracín;71;2.51;73;419
50113 Fuendejalón;372;2.44;383;284
50114 Fuendetodos;45;3.19;46;285
44110 Fuenferrada;18;2.75;19;318
44111 Fuentes Calientes;48;2.98;49;394
44112 Fuentes Claras;261;2.55;269;482
50115 Fuentes de Ebro;1232;3.06;1269;627
50116 Fuentes de Jiloca;121;3.06;125;480
44113 Fuentes de Rubielos;33;2.61;34;250
44114 Fuentespalda;135;2.71;139;595
22113 Fueva (La);248;2.52;255;723
50117 Gallocanta;57;3.28;59;265
50118 Gallur;999;2.95;1029;486
44115 Galve;44;3.26;45;728
44116 Gargallo;50;2.63;52;340
44117 Gea de Albarracín;154;3.08;159;562
50119 Gelsa;403;3.07;415;627
44118 Ginebrosa (La);88;2.99;91;202
22114 Gistaín;56;3.26;58;256
50120 Godojos;26;2.7;27;631
50121 Gotor;157;2.44;162;495
22115 Grado (El);193;2.96;199;703
22116 Grañén;660;3.04;680;606
22117 Graus;1122;2.88;1156;424
44119 Griegos;57;2.53;59;547
50122 Grisel;25;2.77;26;499
50123 Grisén;182;2.62;187;219
44120 Guadalaviar;105;2.73;108;565
44121 Gúdar;25;2.99;26;250
22119 Gurrea de Gállego;613;3.05;631;554
50124 Herrera de los Navarros;232;2.54;239;735
44122 Híjar;719;2.71;741;655
44123 Hinojosa de Jarque;71;2.57;73;437
22122 Hoz de Jaca;30;2.5;31;230
44124 Hoz de la Vieja (La);45;3.12;46;274
22908 Hoz y Costean;83;3.22;85;618
22124 Huerto;103;2.68;106;711
44125 Huesa del Común;44;3.09;45;442
22125 Huesca;14214;3.2;14640;712
50125 Ibdes;188;3.14;194;522
22126 Ibieca;42;2.49;43;551
44126 Iglesuela del Cid (La);150;3.25;154;591
22127 Igriés;69;2.68;71;320
22128 Ilche;108;2.64;111;330
50126 Illueca;1391;2.38;1433;235
22129 Isábena;91;2.81;94;686
50128 Isuerre;26;2.42;27;698
44127 Jabaloyas;36;2.59;37;622
22130 Jaca;4257;2.63;4385;316
50129 Jaraba;102;3.1;105;634
44128 Jarque de la Val;32;3.15;33;600
50130 Jarque de Moncayo;223;2.61;230;264
22131 Jasa;39;3.14;40;755
44129 Jatiel;23;3.09;24;540
50131 Jaulín;101;3.06;104;653
44130 Jorcas;21;2.5;22;609
44131 Josa;15;3.05;15;579
50132 Joyosa (La);112;3.25;115;465
22133 Labuerda;56;2.97;58;370
50133 Lagata;59;2.62;61;530
44132 Lagueruela;25;2.79;26;373
22135 Laluenga;90;2.96;93;265
22136 Lalueza;449;2.82;462;651
22137 Lanaja;660;2.43;680;550
50134 Langa del Castillo;73;2.61;75;258
44133 Lanzuela;10;3.06;10;525
22139 Laperdiguera;32;3.17;33;723
22141 Lascellas-Ponzano;67;2.44;69;263
22142 Lascuarre;53;3.23;55;208
22143 Laspaúles;107;2.65;110;589
22144 Laspuña;91;2.96;94;375
50135 Layana;50;3.07;52;711
50136 Lécera;277;3.11;285;768
50138 Lechón;16;3.23;16;388
50137 Leciñena;529;2.62;545;268
50139 Letux;158;3.15;163;208
44135 Libros;68;2.43;70;704
44136 Lidón;28;2.97;29;465
44137 Linares de Mora;101;3.04;104;750
50140 Litago;61;2.98;63;552
50141 Lituénigo;46;2.56;47;647
44141 Lledó;66;3.16;68;385
22149 Loarre;160;2.48;165;497
50142 Lobera de Onsella;25;2.29;26;356
50143 Longares;284;3.03;293;227
50144 Longás;14;2.83;14;607
22150 Loporzano;166;3.15;171;615
22151 Loscorrales;48;2.7;49;651
44138 Loscos;86;2.49;89;283
50146 Lucena de Jalón;85;3.12;88;470
50147 Luceni;373;2.85;384;628
50148 Luesia;171;2.49;176;650
50149 Luesma;8;2.94;8;664
50150 Lumpiaque;335;2.82;345;635
50151 Luna;321;2.9;331;610
22905 Lupiñén-Ortilla;131;2.75;135;650
50152 Maella;646;3.14;665;348
50153 Magallón;388;3.14;400;400
44142 Maicas;8;3.1;8;301
50154 Mainar;76;2.41;78;750
50155 Malanquilla;41;3.17;42;755
50156 Maleján;104;2.98;107;498
50160 Mallén;978;3.0;1007;388
50157 Malón;180;2.66;185;765
50159 Maluenda;318;3.18;328;543
50161 Manchones;52;3.01;54;400
44143 Manzanera;199;2.42;205;566
50162 Mara;80;2.71;82;470
50163 María de Huerva;272;3.19;280;686
44144 Martín del Río;150;3.28;154;319
44145 Mas de las Matas;496;2.98;511;721
44146 Mata de los Olmos (La);94;2.95;97;358
44147 Mazaleón;233;2.57;240;591
50164 Mediana de Aragón;198;2.56;204;310
50165 Mequinenza;783;3.25;806;230
50166 Mesones de Isuela;149;2.61;153;408
50167 Mezalocha;103;3.08;106;339
44148 Mezquita de Jarque;54;2.66;56;528
50168 Mianos;16;2.37;16;747
50169 Miedes de Aragón;225;2.32;232;721
44149 Mirambel;51;2.84;53;592
44150 Miravete de la Sierra;16;3.21;16;562
44151 Molinos;128;2.67;132;425
50170 Monegrillo;207;2.66;213;255
22155 Monesma y Cajigar;40;2.62;41;313
50171 Moneva;39;2.83;40;209
22156 Monflorite-Lascasas;70;2.75;72;531
44152 Monforte de Moyuela;27;3.12;28;488
50172 Monreal de Ariza;114;2.79;117;598
44153 Monreal del Campo;816;2.82;840;756
44154 Monroyo;156;2.44;161;671
44155 Montalbán;486;3.28;501;248
22157 Montanuy;120;2.54;124;573
44156 Monteagudo del Castillo;30;2.33;31;710
50173 Monterde;75;2.97;77;380
44157 Monterde de Albarracín;26;2.85;27;666
50174 Montón;53;2.72;55;766
22158 Monzón;5326;2.73;5486;213
44158 Mora de Rubielos;446;3.09;459;555
50175 Morata de Jalón;616;2.51;634;702
50176 Morata de Jiloca;114;3.11;117;769
50177 Morés;172;2.95;177;442
50178 Moros;196;2.72;202;597
44159 Moscardón;20;2.77;21;642
44160 Mosqueruela;271;2.56;279;617
50179 Moyuela;116;3.07;119;199
50180 Mozota;41;2.84;42;695
50181 Muel;432;2.63;445;698
50182 Muela (La);392;2.9;404;646
50183 Munébrega;146;3.3;150;396
44161 Muniesa;272;2.74;280;375
50184 Murero;44;3.23;45;336
50185 Murillo de Gállego;52;2.64;54;575
22160 Naval;127;2.38;131;570
50186 Navardún;24;2.5;25;714
50187 Nigüella;44;2.73;45;405
44163 Noguera de Albarracín;73;2.52;75;644
44164 Nogueras;9;2.37;9;449
44165 Nogueruelas;66;3.21;68;230
50188 Nombrevilla;10;3.21;10;302
50189 Nonaspe;356;3.05;367;311
22162 Novales;76;2.49;78;309
50190 Novallas;312;2.43;321;471
50191 Novillas;294;2.38;303;201
22163 Nueno;71;3.04;73;678
50192 Nuévalos;93;3.23;96;375
50193 Nuez de Ebro;205;2.74;211;586
44167 Obón;21;2.52;22;495
44168 Odón;94;2.82;97;710
44169 Ojos Negros;222;2.65;229;333
44171 Olba;74;2.68;76;738
44172 Oliete;167;2.93;172;592
44173 Olmos (Los);50;3.01;52;676
22164 Olvena;22;2.45;23;640
50194 Olvés;73;2.35;75;549
22165 Ontiñena;199;3.29;205;742
50195 Orcajo;18;2.55;19;451
50196 Orera;56;2.37;58;571
50197 Orés;41;2.51;42;577
44174 Orihuela del Tremedal;260;2.35;268;471
44175 Orrios;72;2.7;74;738
50198 Oseja;18;3.09;19;747
50199 Osera de Ebro;130;2.65;134;634
22167 Osso de Cinca;273;2.75;281;649
22168 Palo;8;3.08;8;310
44176 Palomar de Arroyos;94;2.81;97;285
44177 Pancrudo;57;3.19;59;730
50200 Paniza;224;3.18;231;272
22170 Panticosa;279;2.32;287;476
50201 Paracuellos de Jiloca;160;3.09;165;441
50202 Paracuellos de la Ribera;113;2.77;116;225
44178 Parras de Castellote (Las);29;3.25;30;482
50203 Pastriz;337;2.78;347;755
50204 Pedrola;782;3.29;805;453
50205 Pedrosas (Las);33;3.01;34;608
22172 Peñalba;318;2.55;328;622
44179 Peñarroya de Tastavins;189;2.85;195;430
22173 Peñas de Riglos (Las);84;3.3;87;413
44180 Peracense;38;3.11;39;223
44181 Peralejos;40;2.4;41;744
44182 Perales del Alfambra;100;3.0;103;294
22174 Peralta de Alcofea;274;2.65;282;411
22175 Peralta de Calasanz;126;2.32;130;525
22176 Peraltilla;63;2.71;65;625
22177 Perarrúa;53;2.56;55;279
50206 Perdiguera;143;3.12;147;516
22178 Pertusa;57;2.63;59;448
50207 Piedratajada;63;3.1;65;437
50208 Pina de Ebro;956;2.31;985;632
50209 Pinseque;561;2.62;578;703
50210 Pintanos (Los);32;2.62;33;201
22181 Piracés;40;2.52;41;594
44183 Pitarque;47;2.38;48;371
22182 Plan;123;2.49;127;739
50211 Plasencia de Jalón;129;2.86;133;529
50212 Pleitas;27;2.6;28;492
50213 Plenas;59;2.75;61;520
44184 Plou;20;2.64;21;698
44185 Pobo (El);49;3.16;50;655
22184 Poleñino;78;3.22;80;381
50214 Pomer;5;2.75;5;664
44187 Portellada (La);124;2.64;128;437
22186 Pozán de Vero;105;2.43;108;314
44189 Pozondón;26;3.23;27;518
50215 Pozuel de Ariza;11;2.33;11;759
44190 Pozuel del Campo;43;2.62;44;752
50216 Pozuelo de Aragón;134;2.61;138;201
50217 Pradilla de Ebro;251;2.63;259;480
50218 Puebla de Albortón;64;2.45;66;634
50219 Puebla de Alfindén (La);530;3.08;546;204
22187 Puebla de Castro (La);126;2.43;130;317
44191 Puebla de Híjar (La);380;2.94;391;746
44192 Puebla de Valverde (La);201;2.43;207;637
50220 Puendeluna;25;2.34;26;414
22188 Puente de Montañana;40;3.2;41;432
22902 Puente la Reina de Jaca;97;2.49;100;648
22189 Puértolas;68;3.11;70;706
44193 Puertomingalvo;49;2.86;50;334
22190 Pueyo de Araguás (El);68;2.39;70;249
22193 Pueyo de Santa Cruz;110;3.26;113;738
50221 Purujosa;15;2.6;15;615
22195 Quicena;43;3.17;44;639
50222 Quinto;869;2.48;895;316
44194 Ráfales;67;3.17;69;711
50223 Remolinos;542;2.32;558;447
50224 Retascón;28;2.86;29;322
50225 Ricla;599;3.07;617;769
44195 Rillo;44;3.27;45;470
44196 Riodeva;71;3.2;73;640
22197 Robres;221;3.12;228;614
44197 Ródenas;29;3.19;30;541
50227 Romanos;59;2.51;61;737
44198 Royuela;93;2.6;96;532
44199 Rubiales;24;2.56;25;342
44200 Rubielos de la Cérida;22;2.72;23;320
44201 Rubielos de Mora;229;2.7;236;614
50228 Rueda de Jalón;130;2.85;134;465
50229 Ruesca;37;2.46;38;768
50241 Sabiñán;328;2.99;338;468
22199 Sabiñánigo;3483;2.48;3587;206
50230 Sádaba;642;2.62;661;350
22200 Sahún;110;2.82;113;378
22201 Salas Altas;126;3.09;130;267
22202 Salas Bajas;57;3.04;59;471
44203 Salcedillo;3;3.03;3;317
44204 Saldón;17;2.5;18;368
22203 Salillas;45;2.87;46;696
50231 Salillas de Jalón;152;2.4;157;239
22204 Sallent de Gállego;379;2.68;390;701
50232 Salvatierra de Esca;106;2.72;109;221
44205 Samper de Calanda;426;2.35;439;665
50233 Samper del Salz;56;2.59;58;669
44206 San Agustín;49;3.23;50;430
22205 San Esteban de Litera;195;3.25;201;741
22207 San Juan de Plan;61;2.67;63;247
50234 San Martín de la Virgen de Moncayo;132;2.35;136;736
44207 San Martín del Río;124;2.48;128;521
50235 San Mateo de Gállego;754;2.7;777;414
22903 San Miguel del Cinca;277;3.26;285;410
22206 Sangarrén;116;2.45;119;420
22208 Santa Cilia;67;3.06;69;708
50236 Santa Cruz de Grío;96;2.44;99;564
22209 Santa Cruz de la Serós;47;3.27;48;447
50237 Santa Cruz de Moncayo;40;2.68;41;490
44208 Santa Cruz de Nogueras;9;3.0;9;238
44209 Santa Eulalia;468;2.65;482;341
50238 Santa Eulalia de Gállego;46;2.9;47;326
22906 Santa María de Dulcis;84;2.5;87;405
22212 Santaliestra y San Quílez;40;2.43;41;310
50239 Santed;24;3.2;25;642
22213 Sariñena;1250;3.22;1288;224
44210 Sarrión;321;3.19;331;678
50240 Sástago;505;2.93;520;656
22214 Secastilla;53;3.09;55;700
50242 Sediles;45;2.38;46;260
44211 Segura de los Baños;20;2.62;21;433
22215 Seira;80;2.61;82;754
22217 Sena;203;2.94;209;501
22218 Senés de Alcubierre;23;2.61;24;257
44212 Seno;22;2.42;23;690
22220 Sesa;91;2.93;94;409
50243 Sestrica;156;3.12;161;674
22221 Sesué;45;2.71;46;706
50244 Sierra de Luna;107;2.45;110;716
22222 Siétamo;149;2.51;153;233
50245 Sigüés;71;2.55;73;354
44213 Singra;38;2.59;39;204
50246 Sisamón;28;3.03;29;763
50247 Sobradiel;210;2.9;216;500
22223 Sopeira;35;3.01;36;397
50248 Sos del Rey Católico;304;2.67;313;642
22904 Sotonera (La);355;3.12;366;657
50249 Tabuenca;192;2.52;198;479
50250 Talamantes;24;2.82;25;396
22225 Tamarite de Litera;1238;3.1;1275;248
50251 Tarazona;4131;2.49;4255;556
22226 Tardienta;439;2.42;452;724
50252 Tauste;2194;3.19;2260;326
22227 Tella-Sin;101;2.65;104;606
50253 Terrer;225;2.99;232;474
44215 Terriente;75;2.34;77;659
44216 Teruel;9806;2.99;10100;497
50254 Tierga;99;2.62;102;316
22228 Tierz;76;2.37;78;310
50255 Tobed;98;2.92;101;587
22229 Tolva;82;2.56;84;229
44217 Toril y Masegoso;14;2.64;14;410
22230 Torla-Ordesa;138;2.39;142;529
44218 Tormón;16;2.5;16;762
44219 Tornos;99;2.6;102;615
22232 Torralba de Aragón;55;2.4;57;416
50256 Torralba de los Frailes;33;3.26;34;701
44220 Torralba de los Sisones;96;2.31;99;548
50257 Torralba de Ribota;82;2.81;84;314
50258 Torralbilla;29;2.41;30;552
44223 Torre de Arcas;42;2.62;43;427
44224 Torre de las Arcas;12;3.06;12;729
44225 Torre del Compte;72;2.49;74;745
22233 Torre la Ribera;37;3.27;38;396
44227 Torre los Negros;38;2.51;39;659
44221 Torrecilla de Alcañiz;144;3.06;148;663
44222 Torrecilla del Rebollar;64;2.86;66;318
50259 Torrehermosa;39;3.15;40;346
44226 Torrelacárcel;107;2.84;110;728
50260 Torrelapaja;16;2.75;16;609
50261 Torrellas;128;2.5;132;768
44228 Torremocha de Jiloca;69;2.48;71;369
22234 Torrente de Cinca;349;3.21;359;343
44229 Torres de Albarracín;60;2.65;62;498
22235 Torres de Alcanadre;51;2.71;53;656
22236 Torres de Barbués;119;3.07;123;559
50262 Torres de Berrellén;532;2.64;548;742
44230 Torrevelilla;63;3.25;65;401
44231 Torrijas;27;2.98;28;583
50263 Torrijo de la Cañada;142;2.92;146;602
44232 Torrijo del Campo;182;3.17;187;563
50264 Tosos;87;2.37;90;256
44234 Tramacastiel;46;2.54;47;525
44235 Tramacastilla;49;2.75;50;400
22239 Tramaced;41;2.56;42;448
50265 Trasmoz;22;3.0;23;346
50266 Trasobares;74;3.22;76;532
44236 Tronchón;35;2.75;36;257
50267 Uncastillo;347;2.65;357;362
50268 Undués de Lerda;18;3.25;19;247
44237 Urrea de Gaén;228;2.75;235;336
50269 Urrea de Jalón;124;2.79;128;738
50270 Urriés;31;2.7;32;349
50271 Used;122;3.2;126;372
50272 Utebo;3306;2.87;3405;227
44238 Utrillas;1084;3.07;1117;570
50274 Val de San Martín;24;3.09;25;598
44239 Valacloche;8;2.64;8;759
44240 Valbona;67;2.74;69;543
44241 Valdealgorfa;239;3.15;246;707
44243 Valdecuenca;14;2.66;14;454
50273 Valdehorna;18;3.19;19;221
44244 Valdelinares;40;3.22;41;607
44245 Valdeltormo;131;2.93;135;459
44246 Valderrobres;628;3.05;647;417
22242 Valfarta;32;3.11;33;759
44247 Valjunquera;141;3.14;145;559
22243 Valle de Bardají;21;2.71;22;651
22901 Valle de Hecho;414;2.37;426;674
22244 Valle de Lierp;23;2.66;24;394
44249 Vallecillo (El);14;3.07;14;743
50275 Valmadrid;22;2.76;23;329
50276 Valpalmas;65;3.04;67;401
50277 Valtorres;38;2.66;39;672
44250 Veguillas de la Sierra;9;2.88;9;651
22245 Velilla de Cinca;196;2.5;202;618
50278 Velilla de Ebro;92;3.06;95;697
